#
# Hop Plot. Hop plot. EffDiam: 40.7843, G(59, 59) (Sun Apr 27 20:56:20 2014)
#
# Number of hops	Number of pairs of nodes
0	59
1	59
2	152.419
3	207.804
4	269.154
5	335.6
6	400.546
7	467.67
8	532.117
9	594.063
10	659.106
11	720.698
12	785.621
13	852.428
14	918.953
15	989.198
16	1054.89
17	1127.05
18	1190.77
19	1255.88
20	1320.34
21	1387.39
22	1418.77
23	1451.49
24	1482.9
25	1515.64
26	1544.25
27	1573.13
28	1602.9
29	1634.04
30	1666.09
31	1700.47
32	1731.05
33	1762.4
34	1792.88
35	1818.75
36	1845.42
37	1870.29
38	1892.83
39	1913.19
40	1933.75
41	1953.05
42	1972.63
43	1990.08
44	2008.88
45	2026.07
46	2045.45
47	2065.22
48	2085.54
49	2099.14
50	2113
51	2125.21
52	2133.03
53	2141.09
54	2149.44
55	2154.3
56	2157.9
57	2161.5
58	2165.43
59	2165.43
