#
# Clustering Coefficient Distribution. G(79227, 967895). Average clustering: 0.0025  OpenTriads: 63441573 (0.9994)  ClosedTriads: 37190 (0.0006) (Wed Apr 30 15:40:09 2014)
#
# Node degree	Average clustering coefficient
1	0
2	0.00531469
3	0.00243531
4	0.00270133
5	0.00301042
6	0.00282638
7	0.00232782
8	0.00279653
9	0.00280473
10	0.00252088
11	0.00257966
12	0.00254185
13	0.00244689
14	0.00258211
15	0.00267629
16	0.00256085
17	0.00244369
18	0.00244632
19	0.00236656
20	0.00264543
21	0.00269821
22	0.00245262
23	0.00250252
24	0.00229773
25	0.0025997
26	0.00248765
27	0.00271993
28	0.00236378
29	0.00260111
30	0.00241772
31	0.00252854
32	0.00248793
33	0.0024086
34	0.00247702
35	0.00252502
36	0.00237188
37	0.00252652
38	0.00248699
39	0.0025363
40	0.00263691
41	0.00236059
42	0.00244494
43	0.0024161
44	0.0024005
45	0.00231654
46	0.00242484
47	0.00225206
48	0.0025193
49	0.00234405
50	0.00230531
51	0.00219926
52	0.00233711
53	0.00236122
54	0.00223346
55	0.00218242
56	0.00246387
57	0.00252649
58	0.00220283
59	0.00253589
60	0.00221739
61	0.00217963
62	0.00248551
63	0.00239106
64	0.00236157
65	0.00259431
66	0.00227319
67	0.00247543
68	0.00258554
69	0.00216448
70	0.00215976
71	0.00229132
72	0.0023542
73	0.00207177
74	0.00235653
75	0.00223631
76	0.00219641
77	0.00213408
78	0.00207625
79	0.0021766
80	0.00226645
81	0.0021967
82	0.00237886
83	0.00229881
84	0.00225133
85	0.00188528
86	0.00183504
87	0.00217902
88	0.00216353
89	0.00232907
90	0.00230818
91	0.00232527
92	0.00208013
93	0.00244628
94	0.00225697
95	0.00196031
96	0.00234025
97	0.00231422
98	0.00182388
99	0.00203805
100	0.00216408
101	0.00260001
102	0.00233477
103	0.00186986
104	0.00209581
105	0.00207057
106	0.00231503
107	0.00228874
108	0.00224408
109	0.00225758
110	0.00208468
111	0.00220488
112	0.00211403
113	0.00228714
114	0.00178026
115	0.00225465
116	0.00208638
117	0.00188078
118	0.00204503
119	0.00201584
120	0.0021769
121	0.002042
122	0.00195806
123	0.0018275
124	0.0018613
125	0.00209589
126	0.00216271
127	0.00171477
128	0.00196635
129	0.00242706
130	0.00188585
131	0.00173575
132	0.00204465
133	0.00209923
134	0.00216317
135	0.00218409
136	0.00249302
137	0.00230856
138	0.00192039
139	0.00196154
140	0.00174385
141	0.00152988
142	0.00206287
143	0.00193856
144	0.00226162
145	0.00141328
146	0.00197451
147	0.00184238
148	0.00198935
149	0.00240391
150	0.00208662
151	0.0020969
152	0.00222328
153	0.00184387
154	0.00217313
155	0.00206564
156	0.0024348
157	0.00276679
158	0.00224401
159	0.00160459
160	0.00191489
161	0.00195007
162	0.00174186
163	0.00174087
164	0.00159039
165	0.00180976
166	0.00125477
167	0.00175714
168	0.000896548
169	0.00168437
170	0.00216516
171	0.00141575
172	0.00155979
173	0.00159337
174	0.00164068
175	0.00161704
176	0.0013618
177	0.00215293
178	0.00132861
179	0.00247715
180	0.00194662
181	0.00110171
182	0.00200725
183	0.00273469
184	0.00131012
185	0.00124103
186	0.00129839
187	0.00166999
188	0.00130117
189	0.00180419
190	0.00181143
191	0.00172808
192	0.00118812
193	0.00119533
194	0.00193642
195	0.000961747
196	0.00176692
197	0.00188133
198	0.00137671
199	0.001769
200	0.00214096
201	0.00176962
202	0.00236017
203	0.00142454
204	0.0018007
205	0.00127384
206	0.00149035
207	0.00127597
208	0.00208562
209	0.00134461
210	0.00201459
211	0.00230251
212	0.00156494
213	0.00124343
214	0.00147742
215	0.00224745
216	0.00227588
217	0.00229685
218	0.00165012
219	0.00162073
220	0.00184823
221	0.00218631
222	0.0019377
223	0.000812188
224	0.00140685
225	0.000767584
226	0.00409046
227	0.00184609
228	0.00405442
229	0.00358603
230	0.00153701
231	0.00185517
232	0.00130143
233	0.00140032
234	0.00153286
235	0.00144999
236	0.0021502
237	0.00178817
238	0.00178165
239	0.000955604
240	0.00263253
241	0.0023431
242	0.00144948
243	0.00107945
244	0.00202085
245	0.000634921
246	0.00123144
247	0.00208887
249	0.00164087
250	0.0008364
251	0.00162658
252	0.00316991
253	0.00126265
254	0.00172882
255	0.00211965
256	0.00149357
257	0.00127675
258	0.00141039
259	0.00266379
260	0.00209627
261	0.000960463
262	0.000909256
263	0.00121614
264	0.00162144
265	0.00152761
266	0.0022809
267	0.00105364
269	0.000887755
270	0.000849504
272	0.00224678
273	0.00336844
274	0.00146385
275	0.00221428
276	0.0020928
277	0.0015528
279	0.00186726
280	0.00214019
282	0.0019305
283	0.00124689
284	0.00146817
285	0.00133492
