#
# Clustering Coefficient Distribution. G(79090, 1699181). Average clustering: 0.0600  OpenTriads: 499902929 (0.9924)  ClosedTriads: 3811120 (0.0076) (Tue Apr 29 16:38:11 2014)
#
# Node degree	Average clustering coefficient
1	0
2	0.150625
3	0.134415
4	0.119296
5	0.105034
6	0.0957469
7	0.084284
8	0.0812472
9	0.076906
10	0.0718793
11	0.0688377
12	0.064234
13	0.0626507
14	0.0592787
15	0.0577073
16	0.0563462
17	0.054766
18	0.0537813
19	0.0509386
20	0.0507692
21	0.04894
22	0.0490802
23	0.0478717
24	0.047313
25	0.0459569
26	0.0450116
27	0.0448492
28	0.0434246
29	0.0432977
30	0.0430951
31	0.0417144
32	0.0417627
33	0.040558
34	0.0412674
35	0.0413208
36	0.0392545
37	0.0398071
38	0.038899
39	0.0392484
40	0.0397032
41	0.0404103
42	0.0390324
43	0.0387549
44	0.0373669
45	0.0377018
46	0.0368545
47	0.0371029
48	0.0375902
49	0.0375969
50	0.0375667
51	0.0365136
52	0.0367447
53	0.037152
54	0.0342149
55	0.0362
56	0.0352135
57	0.0357484
58	0.0349754
59	0.0334086
60	0.0358627
61	0.0350059
62	0.0342381
63	0.0331557
64	0.0332374
65	0.0350209
66	0.035956
67	0.0338404
68	0.0342033
69	0.0334945
70	0.0342662
71	0.0330741
72	0.0334262
73	0.0337397
74	0.0332631
75	0.032883
76	0.0339069
77	0.0334006
78	0.0342135
79	0.0317993
80	0.0310241
81	0.0310938
82	0.0308635
83	0.0334017
84	0.0320652
85	0.0334194
86	0.0322014
87	0.0311699
88	0.0304055
89	0.0327614
90	0.0317703
91	0.0337471
92	0.032261
93	0.0309429
94	0.0320749
95	0.0316542
96	0.0317556
97	0.0319498
98	0.031524
99	0.0314136
100	0.030913
101	0.0301197
102	0.0305245
103	0.0297948
104	0.0316182
105	0.0306875
106	0.0320527
107	0.0313967
108	0.0297711
109	0.0300997
110	0.0315711
111	0.0299923
112	0.030929
113	0.0299863
114	0.0311451
115	0.0308845
116	0.0297596
117	0.0293064
118	0.0312108
119	0.0307172
120	0.0300176
121	0.0302711
122	0.0296369
123	0.0303141
124	0.0307451
125	0.0310318
126	0.0303541
127	0.0288546
128	0.0290914
129	0.030674
130	0.0302146
131	0.0303765
132	0.0305031
133	0.0301216
134	0.0307604
135	0.0286477
136	0.0309222
137	0.0298191
138	0.0283122
139	0.0285763
140	0.0289137
141	0.0296277
142	0.030323
143	0.0274846
144	0.0310911
145	0.0276203
146	0.0294186
147	0.0319452
148	0.0291978
149	0.0292665
150	0.0285678
151	0.0291343
152	0.0307272
153	0.0298068
154	0.0303773
155	0.0294536
156	0.0308035
157	0.0274833
158	0.0317618
159	0.0299655
160	0.0284407
161	0.0290856
162	0.0288323
163	0.0283632
164	0.0289999
165	0.0293486
166	0.0298489
167	0.0302502
168	0.0274072
169	0.0290108
170	0.0298102
171	0.0290046
172	0.029267
173	0.028956
174	0.0317259
175	0.029344
176	0.0287161
177	0.0300768
178	0.0296247
179	0.0287755
180	0.029487
181	0.0290445
182	0.0274786
183	0.0284893
184	0.0298699
185	0.0286951
186	0.0274783
187	0.0286015
188	0.0289278
189	0.0283972
190	0.0270056
191	0.0272248
192	0.0289681
193	0.0265575
194	0.0277517
195	0.027497
196	0.0288961
197	0.0280941
198	0.029705
199	0.0278031
200	0.0275967
201	0.0286821
202	0.0291199
203	0.0307454
204	0.0299806
205	0.0270274
206	0.0294144
207	0.0280364
208	0.0258943
209	0.0282209
210	0.0279886
211	0.0295245
212	0.0285863
213	0.029199
214	0.0284723
215	0.029537
216	0.0293784
217	0.0281358
218	0.02912
219	0.0292962
220	0.0269712
221	0.0280774
222	0.0261869
223	0.0264223
224	0.0275505
225	0.0256159
226	0.0269439
227	0.0255252
228	0.0262961
229	0.0275444
230	0.0257327
231	0.0263081
232	0.0259927
233	0.0282676
234	0.0293448
235	0.0273709
236	0.0267978
237	0.0278394
238	0.0280281
239	0.0275654
240	0.0282648
241	0.0268495
242	0.0245042
243	0.0292352
244	0.025481
245	0.0256444
246	0.026426
247	0.027346
248	0.0264786
249	0.0277013
250	0.0274467
251	0.0279931
252	0.0277714
253	0.0269478
254	0.0271532
255	0.0254066
256	0.0295438
257	0.0278717
258	0.0284424
259	0.027411
260	0.0289941
261	0.026982
262	0.0263079
263	0.0247363
264	0.0268573
265	0.023566
266	0.0258587
267	0.0280468
268	0.0289639
269	0.0250107
270	0.0275971
271	0.0263979
272	0.0244473
273	0.0260543
274	0.0256349
275	0.0274371
276	0.0276027
277	0.029488
278	0.0276201
279	0.0243062
280	0.023896
281	0.0258615
282	0.0269285
283	0.0265249
284	0.0265032
285	0.0258444
286	0.0266707
287	0.0261393
288	0.028537
289	0.0273574
290	0.0275954
291	0.0269069
292	0.0272888
293	0.0257515
294	0.0249512
295	0.0259686
296	0.0275499
297	0.0291275
298	0.0274111
299	0.025909
300	0.0272582
301	0.0263378
302	0.0256666
303	0.0286513
304	0.0238261
305	0.0260377
306	0.0265622
307	0.025502
308	0.0278083
