#
# Clustering Coefficient Distribution. G(78437, 1618665). Average clustering: 0.0569  OpenTriads: 217764217 (0.9967)  ClosedTriads: 720941 (0.0033) (Tue Apr 29 23:48:30 2014)
#
# Node degree	Average clustering coefficient
1	0
2	0.217711
3	0.180263
4	0.156506
5	0.12963
6	0.11251
7	0.101987
8	0.0917679
9	0.0856316
10	0.0792235
11	0.0710453
12	0.0699113
13	0.06529
14	0.0614102
15	0.0605508
16	0.0556542
17	0.0531188
18	0.0507128
19	0.0490925
20	0.046699
21	0.0442372
22	0.0444617
23	0.0420886
24	0.0411682
25	0.0396629
26	0.0392008
27	0.0366676
28	0.0366137
29	0.0349954
30	0.0331821
31	0.0334979
32	0.032744
33	0.0315624
34	0.031346
35	0.0309572
36	0.0302293
37	0.0295804
38	0.0285381
39	0.0275153
40	0.0273005
41	0.0268531
42	0.0264109
43	0.025408
44	0.0255908
45	0.0243527
46	0.0250134
47	0.0240419
48	0.0239965
49	0.0233183
50	0.0234967
51	0.0229351
52	0.0220456
53	0.0220898
54	0.0218782
55	0.021419
56	0.0220349
57	0.020801
58	0.0210931
59	0.0205247
60	0.0204152
61	0.0196561
62	0.0199617
63	0.0197667
64	0.0191761
65	0.0191495
66	0.0185949
67	0.0191607
68	0.0178175
69	0.0186728
70	0.0180323
71	0.0184286
72	0.0181389
73	0.0171631
74	0.0173861
75	0.0173206
76	0.0173842
77	0.0171899
78	0.0163491
79	0.0169742
80	0.0156854
81	0.0161917
82	0.0161067
83	0.0163002
84	0.0156893
85	0.016167
86	0.0152258
87	0.0157581
88	0.0158856
89	0.0150914
90	0.0148379
91	0.0142606
92	0.0149991
93	0.0147949
94	0.0140504
95	0.0147193
96	0.0141815
97	0.0147502
98	0.0146266
99	0.0143275
100	0.0140386
101	0.0133522
102	0.0137797
103	0.0128254
104	0.0138947
105	0.0131969
106	0.0131585
107	0.0132315
108	0.0127515
109	0.0134311
110	0.0126368
111	0.0130269
112	0.013634
113	0.0123835
114	0.0122036
115	0.0128164
116	0.0128898
117	0.0120202
118	0.0116606
119	0.0122777
120	0.0123693
121	0.0121747
122	0.0120926
123	0.0125969
124	0.0114823
125	0.011632
126	0.0118643
127	0.0115903
128	0.011894
129	0.0111147
130	0.0113952
131	0.0114272
132	0.0112366
133	0.0115573
134	0.0112671
135	0.0109013
136	0.0114024
137	0.0107457
138	0.0103945
139	0.0108659
140	0.0106168
141	0.0111902
142	0.0103978
143	0.0105087
144	0.0103265
145	0.010306
146	0.0102909
147	0.0105632
148	0.0103784
149	0.0106123
150	0.010014
151	0.0105842
152	0.0101334
153	0.00989327
154	0.00960161
155	0.0104635
156	0.00870166
157	0.00974077
158	0.0101957
159	0.0103309
160	0.0097832
161	0.00992821
162	0.0093863
163	0.00924015
164	0.00946505
165	0.00905451
166	0.00901829
167	0.00923568
168	0.00916973
169	0.00954283
170	0.00954714
171	0.00919578
172	0.0094827
173	0.0103456
174	0.00903723
175	0.00951934
176	0.00912053
177	0.0085107
178	0.0089558
179	0.0089499
180	0.00893493
181	0.00906688
182	0.00833104
183	0.00823967
184	0.00895207
185	0.00845756
186	0.00929109
187	0.00944546
188	0.00810352
189	0.00866337
190	0.00792287
191	0.00912083
