#
# Clustering Coefficient Distribution. G(78786, 1634509). Average clustering: 0.0588  OpenTriads: 239543023 (0.9964)  ClosedTriads: 865616 (0.0036) (Wed Apr 30 02:16:17 2014)
#
# Node degree	Average clustering coefficient
1	0
2	0.229423
3	0.179986
4	0.150999
5	0.133549
6	0.116154
7	0.102936
8	0.09828
9	0.0873633
10	0.0789916
11	0.0770242
12	0.0726924
13	0.0687976
14	0.0626859
15	0.060947
16	0.0578729
17	0.0553521
18	0.0527152
19	0.0509743
20	0.0491154
21	0.0470973
22	0.0449455
23	0.0448228
24	0.0424744
25	0.0410409
26	0.0396464
27	0.0390655
28	0.0383117
29	0.0370253
30	0.035901
31	0.0354488
32	0.0347228
33	0.0333176
34	0.0327495
35	0.0323112
36	0.0311709
37	0.0310419
38	0.0301508
39	0.0301039
40	0.0292693
41	0.0293732
42	0.0282291
43	0.0275378
44	0.027487
45	0.0267527
46	0.0266877
47	0.0261576
48	0.0262889
49	0.0252594
50	0.0250242
51	0.0236621
52	0.0239564
53	0.0240759
54	0.0233711
55	0.0227615
56	0.0233533
57	0.0222265
58	0.0225728
59	0.0222962
60	0.0224539
61	0.0212869
62	0.0214956
63	0.0206881
64	0.0215778
65	0.0200045
66	0.0204495
67	0.0195832
68	0.0200739
69	0.0203826
70	0.0195394
71	0.0196493
72	0.0194782
73	0.0195912
74	0.0190444
75	0.0188093
76	0.0180177
77	0.0184121
78	0.0184912
79	0.0181275
80	0.0184123
81	0.0178039
82	0.0176373
83	0.0171236
84	0.0173131
85	0.0172984
86	0.017001
87	0.0169865
88	0.017595
89	0.0164525
90	0.0166133
91	0.0163013
92	0.0165829
93	0.016717
94	0.01594
95	0.0160781
96	0.0162735
97	0.0161957
98	0.0149415
99	0.0159323
100	0.0158853
101	0.0151499
102	0.0156402
103	0.0146908
104	0.0145599
105	0.0149765
106	0.0152835
107	0.0145086
108	0.0148491
109	0.0145025
110	0.0152575
111	0.014713
112	0.0134835
113	0.0138346
114	0.0142542
115	0.0142007
