#
# Clustering Coefficient Distribution. G(26795, 153635). Average clustering: 0.1949  OpenTriads: 7372955 (0.9624)  ClosedTriads: 288119 (0.0376) (Sun Apr 27 20:54:42 2014)
#
# Node degree	Average clustering coefficient
1	0
2	0.155553
3	0.262781
4	0.209595
5	0.258527
6	0.222629
7	0.25043
8	0.245757
9	0.258924
10	0.254514
11	0.272699
12	0.259647
13	0.261279
14	0.244677
15	0.271498
16	0.250459
17	0.251706
18	0.262894
19	0.260531
20	0.247681
21	0.254545
22	0.25095
23	0.235461
24	0.248052
25	0.248828
26	0.231391
27	0.244759
28	0.263812
29	0.235137
30	0.233091
31	0.23994
32	0.248309
33	0.244407
34	0.216291
35	0.2386
36	0.239816
37	0.241609
38	0.189968
39	0.188173
40	0.23387
41	0.242963
42	0.234625
43	0.233784
44	0.172054
45	0.218492
46	0.192743
47	0.201266
48	0.19432
49	0.24146
50	0.189199
51	0.225723
52	0.21629
53	0.199072
54	0.243327
55	0.213185
56	0.242197
57	0.158437
58	0.212111
59	0.175833
60	0.215384
61	0.192054
62	0.230295
63	0.167931
64	0.2172
65	0.165307
66	0.130585
67	0.154374
68	0.197221
69	0.198566
70	0.202204
71	0.194756
72	0.167935
73	0.217762
74	0.194199
75	0.146808
76	0.153684
77	0.171968
78	0.198427
79	0.186517
80	0.147065
81	0.145577
82	0.144876
83	0.154972
84	0.148194
85	0.182293
86	0.19474
87	0.161429
88	0.175263
89	0.153143
90	0.125454
91	0.153262
92	0.171971
93	0.143951
94	0.214161
95	0.154653
96	0.110201
97	0.121076
98	0.168707
99	0.142601
100	0.150257
101	0.156549
102	0.15373
103	0.182799
104	0.126117
105	0.166365
106	0.197429
107	0.0965826
108	0.14327
109	0.153408
110	0.173839
111	0.172043
112	0.103689
113	0.169657
114	0.137529
115	0.150467
116	0.151784
117	0.0647085
118	0.137523
119	0.19901
120	0.141737
121	0.121887
122	0.0891762
123	0.128216
124	0.145878
125	0.110011
126	0.18703
127	0.100018
128	0.172264
130	0.16442
131	0.0957493
132	0.145982
133	0.0883748
134	0.0980741
135	0.1299
136	0.128692
137	0.128902
138	0.0939973
139	0.121388
140	0.0753158
141	0.0847967
142	0.152498
143	0.116571
144	0.123245
145	0.0794285
146	0.127384
147	0.110674
148	0.0800121
149	0.0767717
151	0.169857
152	0.0601434
153	0.135064
154	0.103657
155	0.0804623
156	0.0958152
158	0.126601
159	0.0766903
160	0.132663
161	0.186034
162	0.105482
163	0.11685
164	0.159094
165	0.118372
166	0.0955346
167	0.251807
168	0.143981
169	0.10156
170	0.0357143
171	0.0679086
172	0.0913161
173	0.141704
174	0.112279
176	0.158405
177	0.108456
178	0.111838
179	0.149807
181	0.0969612
182	0.098622
185	0.123859
187	0.134563
189	0.12732
191	0.123529
192	0.0673058
193	0.0603134
195	0.145363
197	0.132324
199	0.0365969
203	0.0918719
205	0.0914202
206	0.100895
208	0.151946
210	0.0995647
211	0.0838272
214	0.117639
217	0.0572691
218	0.134963
221	0.0828122
223	0.0453372
224	0.11408
225	0.0972652
227	0.0676219
235	0.0982319
237	0.0563855
238	0.084253
240	0.129729
241	0.105338
242	0.0347837
246	0.0390789
248	0.10383
250	0.0494629
255	0.0969132
256	0.0378866
257	0.0748671
258	0.0886322
262	0.0383294
267	0.0890638
272	0.111755
276	0.0954212
277	0.075378
278	0.0386204
282	0.043502
289	0.0456864
292	0.051568
294	0.0729537
297	0.0409314
308	0.0549357
309	0.0798364
328	0.0843019
332	0.0733871
337	0.0492973
344	0.0739601
389	0.0280975
398	0.0595887
401	0.0594609
435	0.0654533
443	0.0497271
460	0.0442559
461	0.0699682
469	0.0455907
473	0.00647203
498	0.0436882
501	0.0264262
507	0.0529474
555	0.0128209
570	0.0584801
579	0.0472365
588	0.0526172
604	0.0556469
633	0.0368929
639	0.0234544
656	0.035346
697	0.023753
1427	0.00449894
