#
# Clustering Coefficient Distribution. G(70948, 531003). Average clustering: 0.2076  OpenTriads: 31242935 (0.9537)  ClosedTriads: 1515503 (0.0463) (Sun Apr 27 20:18:03 2014)
#
# Node degree	Average clustering coefficient
1	0
2	0.253557
3	0.270426
4	0.262339
5	0.262054
6	0.252931
7	0.261047
8	0.245226
9	0.258902
10	0.246398
11	0.24256
12	0.243882
13	0.236042
14	0.242574
15	0.246751
16	0.237943
17	0.230162
18	0.234908
19	0.232848
20	0.230947
21	0.228443
22	0.231368
23	0.228819
24	0.227516
25	0.224242
26	0.216581
27	0.220944
28	0.227722
29	0.219153
30	0.225364
31	0.215767
32	0.214163
33	0.217033
34	0.211082
35	0.216739
36	0.215162
37	0.217146
38	0.21334
39	0.215289
40	0.201593
41	0.205105
42	0.208037
43	0.219445
44	0.231634
45	0.203346
46	0.21714
47	0.20714
48	0.202346
49	0.216051
50	0.214238
51	0.224489
52	0.194207
53	0.195407
54	0.203387
55	0.205471
56	0.205306
57	0.202392
58	0.201383
59	0.17236
60	0.209022
61	0.177162
62	0.180217
63	0.206269
64	0.203991
65	0.19076
66	0.180242
67	0.18712
68	0.197324
69	0.188623
70	0.187644
71	0.163543
72	0.197488
73	0.189745
74	0.214129
75	0.172936
76	0.238696
77	0.197519
78	0.214356
79	0.166248
80	0.211281
81	0.184007
82	0.175513
83	0.197283
84	0.188021
85	0.211813
86	0.181356
87	0.176896
88	0.212482
89	0.200564
90	0.175545
91	0.182944
92	0.165515
93	0.195628
94	0.177815
95	0.176928
96	0.180046
97	0.18425
98	0.169382
99	0.200164
100	0.176996
101	0.161297
102	0.189905
103	0.112254
104	0.158029
105	0.186885
106	0.176996
107	0.150367
108	0.172295
109	0.189377
110	0.157516
111	0.174436
112	0.116459
113	0.171698
114	0.164069
115	0.222642
116	0.141715
117	0.215185
118	0.177608
119	0.170428
120	0.175482
121	0.181286
122	0.183804
123	0.184303
124	0.173495
125	0.187663
126	0.183733
127	0.149188
128	0.151399
129	0.208354
130	0.206641
131	0.198693
132	0.16012
133	0.159835
134	0.165323
135	0.171708
136	0.129658
137	0.178915
138	0.152748
139	0.12999
140	0.0986626
141	0.162527
142	0.171601
143	0.134165
144	0.220354
145	0.222371
146	0.187105
147	0.117833
148	0.158875
149	0.158341
150	0.184907
151	0.121171
152	0.284428
153	0.211283
154	0.172314
155	0.139791
156	0.174956
157	0.190414
158	0.118524
159	0.197466
160	0.205492
161	0.139652
162	0.223785
163	0.171693
164	0.131696
165	0.17641
166	0.151087
167	0.176175
168	0.164784
169	0.165802
170	0.245694
171	0.181117
172	0.215374
173	0.176833
174	0.16826
175	0.160617
176	0.230381
178	0.100852
179	0.378167
180	0.146987
181	0.21989
182	0.112783
183	0.249912
184	0.0978132
185	0.171385
186	0.11223
187	0.252833
188	0.120755
189	0.154058
190	0.0190476
191	0.189861
192	0.208831
193	0.217337
194	0.123027
195	0.202514
196	0.194429
197	0.159899
198	0.134742
200	0.219077
201	0.181146
202	0.278257
203	0.121413
204	0.252813
205	0.270372
206	0.208115
207	0.129695
208	0.131854
209	0.200376
211	0.0707059
212	0.147617
213	0.194009
214	0.0575874
215	0.180916
216	0.113543
217	0.180432
218	0.149265
220	0.188984
221	0.176067
222	0.304254
223	0.0717312
224	0.134103
225	0.171735
226	0.0505423
227	0.0725871
228	0.197761
229	0.149279
231	0.127188
232	0.144619
233	0.122246
234	0.10571
235	0.0557143
236	0.12211
237	0.351583
238	0.344431
239	0.11797
242	0.164124
243	0.0744273
244	0.105041
245	0.26469
246	0.10084
248	0.104702
249	0.302507
250	0.139915
251	0.0781452
252	0.185522
253	0.0765757
254	0.0956697
256	0.186613
257	0.0652379
258	0.102294
259	0.194699
260	0.0883459
262	0.0305896
263	0.231634
264	0.0775996
265	0.143776
266	0.0866972
267	0.0655325
268	0.224093
270	0.0658266
271	0.192334
273	0.168078
274	0.299163
275	0.0557138
276	0.147976
277	0.0734768
279	0.148349
281	0.16021
282	0.0959226
284	0.0616742
285	0.102498
287	0.134186
289	0.169057
290	0.131253
291	0.110813
293	0.12087
295	0.169309
296	0.0949738
298	0.210021
299	0.103901
302	0.182985
304	0.12149
306	0.119037
307	0.135524
309	0.174646
311	0.220491
313	0.11591
314	0.198831
315	0.0245783
316	0.0730103
317	0.112264
318	0.158345
320	0.0957292
322	0.198185
323	0.108044
324	0.165799
325	0.176968
326	0.143652
329	0.102112
331	0.0579088
333	0.145667
334	0.201922
337	0.00461
338	0.156417
340	0.11318
343	0.137954
344	0.0315945
345	0.254792
346	0.117826
347	0.240547
348	0.137039
349	0.0637471
350	0.00718788
351	0.0438751
352	0.0220349
353	0.113452
354	0.0395019
355	0.0289733
356	0.16152
359	0.157471
361	0.0728361
362	0.1142
366	0.116943
367	0.176769
369	0.0471393
372	0.086662
377	0.195298
378	0.102028
382	0.0653561
384	0.188661
390	0.140293
395	0.186024
396	0.0266932
398	0.116594
399	0.0122866
407	0.136805
408	0.0855899
412	0.153233
414	0.0283546
416	0.0428976
417	0.0545849
418	0.0210826
420	0.111022
424	0.132937
426	0.134686
427	0.035856
428	0.0580899
429	0.057309
431	0.0889605
432	0.145869
435	0.0145445
436	0.0406133
441	0.0760751
451	0.0302415
453	0.147015
454	0.0121605
456	0.131662
459	0.129374
466	0.0967464
470	0.160111
471	0.0798258
472	0.104968
475	0.0912191
480	0.0155145
481	0.125394
485	0.131644
493	0.0505647
497	0.0813847
499	0.0161753
504	0.0398324
515	0.00637844
518	0.0592941
529	0.0167781
539	0.0354897
548	0.0524052
553	0.0851617
555	0.0632287
577	0.0607707
607	0.0268179
626	0.102789
632	0.0162276
640	0.0378321
649	0.0409634
651	0.0829748
699	0.0253504
702	0.060187
754	0.0440933
763	0.0605653
785	0.041215
787	0.0324943
811	0.0165002
879	0.0248046
982	0.00523594
1032	0.00414507
1094	0.0375053
1113	0.0387234
1202	0.0339241
1216	0.0234364
1331	0.0284846
