#
# Clustering Coefficient Distribution. G(81306, 1768149). Average clustering: 0.5653  OpenTriads: 190845756 (0.9358)  ClosedTriads: 13082506 (0.0642) (Tue Apr 22 23:00:24 2014)
#
# Node degree	Average clustering coefficient
1	0
2	0.987941
3	0.896336
4	0.797151
5	0.768998
6	0.719963
7	0.704145
8	0.675524
9	0.662777
10	0.64127
11	0.639849
12	0.631338
13	0.616467
14	0.607855
15	0.612284
16	0.603899
17	0.600849
18	0.586766
19	0.59151
20	0.589629
21	0.577458
22	0.585744
23	0.567643
24	0.57555
25	0.570793
26	0.569194
27	0.56613
28	0.573237
29	0.564231
30	0.563083
31	0.561165
32	0.546975
33	0.556613
34	0.54733
35	0.550858
36	0.548
37	0.54773
38	0.538195
39	0.544458
40	0.534505
41	0.528882
42	0.544657
43	0.523054
44	0.533094
45	0.530387
46	0.523036
47	0.535744
48	0.533556
49	0.519927
50	0.540772
51	0.519148
52	0.524214
53	0.516029
54	0.506746
55	0.516781
56	0.51359
57	0.528261
58	0.494058
59	0.517823
60	0.493229
61	0.507439
62	0.490039
63	0.491139
64	0.490392
65	0.483758
66	0.498629
67	0.497557
68	0.490922
69	0.490336
70	0.517821
71	0.511101
72	0.488692
73	0.495341
74	0.470043
75	0.461072
76	0.461654
77	0.489095
78	0.479102
79	0.467614
80	0.486117
81	0.479598
82	0.483931
83	0.482495
84	0.452892
85	0.458255
86	0.449437
87	0.478266
88	0.469287
89	0.483443
90	0.462834
91	0.456862
92	0.460125
93	0.444482
94	0.456812
95	0.468314
96	0.446981
97	0.45834
98	0.453093
99	0.464248
100	0.458333
101	0.431042
102	0.3994
103	0.452572
104	0.39444
105	0.439144
106	0.444697
107	0.444781
108	0.44045
109	0.425832
110	0.445793
111	0.444543
112	0.423068
113	0.383868
114	0.421834
115	0.430802
116	0.4265
117	0.406591
118	0.393773
119	0.405481
120	0.417377
121	0.429436
122	0.416778
123	0.414214
124	0.392395
125	0.398314
126	0.376597
127	0.417904
128	0.401
129	0.393517
130	0.397541
131	0.385126
132	0.386587
133	0.398057
134	0.408749
135	0.397644
136	0.407405
137	0.431413
138	0.347865
139	0.402571
140	0.401951
141	0.406104
142	0.385946
143	0.371525
144	0.353672
145	0.345724
146	0.346309
147	0.3734
148	0.399323
149	0.341935
150	0.358446
151	0.360908
152	0.358288
153	0.36197
154	0.350195
155	0.33415
156	0.362097
157	0.328997
158	0.361947
159	0.377141
160	0.354649
161	0.353428
162	0.32966
163	0.378779
164	0.295705
165	0.331441
166	0.364595
167	0.34404
168	0.360424
169	0.34441
170	0.343985
171	0.310687
172	0.304498
173	0.335338
174	0.364515
175	0.374199
176	0.387635
177	0.355704
178	0.373741
179	0.35585
180	0.400921
181	0.342371
182	0.349767
183	0.323507
184	0.307004
185	0.389656
186	0.336828
187	0.314575
188	0.262455
189	0.248231
190	0.261766
191	0.277695
192	0.298046
193	0.283601
194	0.28245
195	0.298095
196	0.268691
197	0.320645
198	0.287623
199	0.280166
200	0.288815
201	0.32508
202	0.246562
203	0.307375
204	0.280895
205	0.263552
206	0.246784
207	0.24093
208	0.305178
209	0.286296
210	0.354265
211	0.211445
212	0.321298
213	0.286667
214	0.259648
215	0.25172
216	0.244975
217	0.284186
218	0.265958
219	0.247016
220	0.277917
221	0.250597
222	0.358633
223	0.293146
224	0.253293
225	0.259057
226	0.246444
227	0.280233
228	0.275831
229	0.293785
230	0.33695
231	0.208169
232	0.19745
233	0.26269
234	0.262245
235	0.279118
236	0.299253
237	0.256154
238	0.293024
239	0.321371
240	0.253813
241	0.251885
242	0.176213
243	0.246746
244	0.278224
245	0.27726
246	0.203562
247	0.24995
248	0.232939
249	0.319894
250	0.197222
251	0.257181
252	0.248455
253	0.244613
254	0.25499
255	0.212449
256	0.215443
257	0.241912
258	0.224678
259	0.249725
260	0.218423
261	0.235338
262	0.245792
263	0.209884
264	0.207216
265	0.280522
266	0.223305
267	0.249115
268	0.208906
269	0.187724
270	0.227669
271	0.207424
272	0.188722
273	0.228864
274	0.268369
275	0.252012
276	0.243718
277	0.205384
278	0.200128
279	0.285063
280	0.263472
281	0.307448
282	0.331664
283	0.231156
284	0.295177
285	0.234343
286	0.263032
287	0.200877
288	0.245376
289	0.22341
290	0.217407
291	0.268388
292	0.207233
293	0.193658
294	0.193593
295	0.148596
296	0.235018
297	0.239902
298	0.167683
299	0.232898
300	0.189565
301	0.338706
302	0.256626
303	0.202416
304	0.214983
305	0.204058
306	0.126878
307	0.259738
308	0.243977
309	0.273654
310	0.258519
311	0.161707
312	0.199545
313	0.246124
314	0.189971
315	0.151588
316	0.193839
317	0.171265
318	0.247579
319	0.162136
320	0.211239
321	0.0952928
322	0.284778
323	0.276668
324	0.159725
325	0.154615
326	0.268981
327	0.17348
328	0.0828842
329	0.210234
330	0.187736
331	0.185216
332	0.195063
333	0.239925
334	0.183509
335	0.265685
336	0.227913
337	0.236119
338	0.110942
339	0.171911
340	0.151405
341	0.204424
342	0.164638
343	0.206684
344	0.10383
345	0.208671
346	0.235735
347	0.167216
348	0.224438
349	0.198161
350	0.159438
351	0.17786
352	0.190748
353	0.197654
354	0.259107
355	0.183304
356	0.275141
357	0.169992
358	0.206204
359	0.133807
360	0.186417
361	0.201802
362	0.183657
363	0.166704
364	0.164284
365	0.15413
366	0.15116
368	0.174949
369	0.137555
370	0.18629
371	0.13396
372	0.203916
373	0.139803
374	0.132431
375	0.18082
376	0.15729
377	0.19951
378	0.168393
379	0.171361
380	0.15429
381	0.148983
382	0.182171
383	0.233076
384	0.222497
385	0.23377
386	0.159677
387	0.11483
388	0.167755
389	0.154765
390	0.201155
391	0.125904
392	0.178215
393	0.0857827
394	0.22034
395	0.113355
396	0.136573
397	0.126624
398	0.196041
399	0.145312
400	0.193331
401	0.144887
402	0.150826
403	0.115286
404	0.148178
405	0.175111
406	0.0633811
407	0.192312
408	0.0480673
409	0.22088
410	0.118921
411	0.174904
412	0.0928078
413	0.171172
414	0.151975
415	0.0446307
416	0.113584
417	0.130871
418	0.17413
419	0.100386
420	0.137454
421	0.045132
422	0.184077
423	0.114543
424	0.148116
425	0.0966974
426	0.156681
428	0.152974
429	0.187466
430	0.231794
431	0.125913
432	0.104208
434	0.0952324
435	0.155454
437	0.200318
439	0.209782
440	0.154732
441	0.177707
442	0.0839372
443	0.189529
444	0.200081
445	0.103217
446	0.105578
447	0.181314
448	0.238081
450	0.0826473
452	0.160131
453	0.24055
454	0.165008
455	0.121446
456	0.21836
457	0.166458
458	0.101095
459	0.0757256
460	0.126718
461	0.180142
462	0.131459
463	0.234903
464	0.0845849
465	0.192418
466	0.1589
467	0.0904547
468	0.154289
469	0.178787
470	0.0977789
471	0.117075
472	0.0975928
473	0.102092
475	0.244224
476	0.149529
477	0.193237
478	0.11162
479	0.152089
480	0.15273
481	0.138791
482	0.116247
483	0.113107
484	0.238604
485	0.0602977
486	0.112378
487	0.177348
488	0.164641
489	0.243735
490	0.18403
491	0.166064
492	0.0816103
493	0.104801
494	0.0832147
495	0.147327
496	0.204643
497	0.0473325
498	0.176341
499	0.153557
500	0.148298
501	0.148152
502	0.0418406
504	0.0533213
505	0.251954
507	0.0901394
508	0.0330741
509	0.107962
510	0.17272
511	0.152511
512	0.231159
514	0.128639
515	0.0517241
518	0.163333
519	0.0332269
520	0.254464
523	0.169619
524	0.20103
525	0.042176
526	0.105358
529	0.168689
531	0.135393
532	0.160263
533	0.13962
535	0.181911
539	0.194044
541	0.0228681
542	0.186799
544	0.143623
545	0.0292984
549	0.244508
551	0.119317
555	0.151043
556	0.154149
558	0.158305
559	0.151644
560	0.12651
561	0.126194
562	0.172014
564	0.149036
566	0.160461
568	0.12307
569	0.0965352
570	0.188774
571	0.0904319
572	0.0146229
573	0.105086
576	0.0862186
578	0.201533
579	0.0978628
580	0.100071
584	0.0396181
586	0.158494
589	0.120444
590	0.151019
591	0.086089
593	0.110954
594	0.108012
596	0.225932
599	0.110254
601	0.0238964
602	0.0972907
603	0.0607685
604	0.127312
607	0.0893448
608	0.129244
609	0.161288
612	0.197575
614	0.0393815
616	0.117503
617	0.153613
619	0.0814121
621	0.122542
624	0.120949
625	0.110104
627	0.0911062
630	0.0826519
633	0.143461
635	0.162321
636	0.119001
639	0.174791
640	0.114372
641	0.0568383
