#
# Clustering Coefficient Distribution. G(80776, 1730617). Average clustering: 0.0045  OpenTriads: 164059935 (0.9991)  ClosedTriads: 154041 (0.0009) (Tue Apr 29 01:21:44 2014)
#
# Node degree	Average clustering coefficient
1	0
2	0.00848523
3	0.00603725
4	0.00598291
5	0.00512934
6	0.00508263
7	0.00551802
8	0.00547337
9	0.00508245
10	0.00537441
11	0.00553677
12	0.00579461
13	0.00541078
14	0.0050168
15	0.00506831
16	0.00479074
17	0.00576703
18	0.00496507
19	0.00477556
20	0.00467792
21	0.00510769
22	0.00450075
23	0.00459512
24	0.00471945
25	0.00459954
26	0.004554
27	0.00433556
28	0.00472474
29	0.00418653
30	0.00424111
31	0.00437145
32	0.00434438
33	0.00479403
34	0.00435401
35	0.00442731
36	0.00430095
37	0.00432645
38	0.0044304
39	0.00421926
40	0.00414473
41	0.00415789
42	0.00443486
43	0.00399277
44	0.00416492
45	0.00444349
46	0.00432494
47	0.00406394
48	0.00423767
49	0.00416609
50	0.00403695
51	0.0043172
52	0.00398575
53	0.00388588
54	0.00374306
55	0.00398091
56	0.00394101
57	0.0040601
58	0.00389085
59	0.00378667
60	0.00397715
61	0.003647
62	0.00391854
63	0.00387571
64	0.00355126
65	0.00364275
66	0.00359354
67	0.00377793
68	0.0040032
69	0.00352891
70	0.00391524
71	0.00389823
72	0.00361207
73	0.00346609
74	0.00374132
75	0.00361094
76	0.0037557
77	0.00356259
78	0.00350995
79	0.00348392
80	0.0035967
81	0.00392797
82	0.00351915
83	0.00371772
84	0.0035337
85	0.00349977
86	0.00350731
87	0.00375474
88	0.00347621
89	0.00335536
90	0.0037322
91	0.00355937
92	0.00334524
93	0.00377963
94	0.00340942
95	0.00335006
96	0.00363114
97	0.00369147
98	0.00333991
99	0.00381046
100	0.00376591
101	0.00361311
102	0.00372263
103	0.00348368
104	0.00336145
105	0.00328116
106	0.003735
107	0.00381916
108	0.00361136
109	0.00347632
110	0.00366869
111	0.00341806
112	0.00392172
113	0.00353631
114	0.00376399
115	0.00321601
116	0.00360861
117	0.00322923
118	0.00349231
119	0.00319342
120	0.00371808
121	0.00334215
122	0.00366059
123	0.00317512
124	0.00381183
125	0.00334657
126	0.00299626
127	0.00357942
128	0.00345386
129	0.00369969
130	0.00332402
131	0.0036363
132	0.00340003
133	0.00336182
134	0.0031105
135	0.00333551
136	0.00322674
137	0.00342354
138	0.00330939
139	0.00325265
140	0.00365434
141	0.00340292
142	0.0033243
143	0.00318554
144	0.00336161
145	0.00365573
146	0.00355691
147	0.0032188
148	0.00309785
149	0.00365863
150	0.00304803
151	0.0034082
152	0.00305524
153	0.00355551
154	0.00359766
155	0.00294695
156	0.00343252
157	0.00317157
158	0.00312798
159	0.00322978
160	0.00339004
161	0.00343278
162	0.00362559
163	0.0034202
164	0.00331535
165	0.00332156
166	0.00357656
167	0.00303352
168	0.00335398
169	0.00305193
170	0.00342359
171	0.00353435
172	0.00324263
173	0.00351574
174	0.00294265
175	0.00344372
176	0.00368102
177	0.00376662
178	0.00330051
179	0.00353714
180	0.00371087
181	0.00349916
182	0.00311407
183	0.00331735
184	0.00323489
185	0.00372567
186	0.00335936
187	0.00312416
188	0.00287601
189	0.00291055
190	0.00301189
191	0.00299286
192	0.00332636
193	0.00310472
194	0.00357742
195	0.00344813
196	0.0032778
197	0.00331766
198	0.0035783
199	0.00324233
200	0.00247506
201	0.00363062
202	0.00273965
203	0.00368276
204	0.00297405
205	0.00328712
206	0.00369492
207	0.00295008
208	0.00385661
209	0.00341117
210	0.00340245
211	0.00288327
212	0.00291944
213	0.00362231
214	0.00363604
215	0.00307639
216	0.00347805
217	0.00243367
218	0.0030326
219	0.0033577
220	0.00343315
221	0.00361899
222	0.00315056
223	0.00358564
224	0.00280024
225	0.00346457
226	0.00311536
227	0.00349122
228	0.00310667
229	0.003193
230	0.0033464
231	0.00291134
232	0.00322764
233	0.00350971
234	0.00327226
235	0.00303482
236	0.002559
237	0.00249864
238	0.00273204
239	0.0030932
240	0.00350052
241	0.00343171
242	0.00297753
243	0.00298228
244	0.00314514
245	0.00338898
246	0.00274248
247	0.00279102
248	0.0035371
249	0.00323931
250	0.00334339
251	0.00292683
252	0.00280428
253	0.00338115
254	0.00321723
255	0.00252587
256	0.00310364
257	0.00277938
258	0.00334596
259	0.0035872
260	0.00287506
261	0.00322911
262	0.00278903
263	0.00311478
264	0.00430308
265	0.00309212
266	0.00322424
267	0.00269532
268	0.00317137
269	0.00382317
270	0.0022579
271	0.00353288
272	0.00313562
273	0.00258121
274	0.00223186
275	0.00240506
276	0.00271028
277	0.00329634
278	0.00241741
279	0.00275338
280	0.00294975
281	0.00311304
282	0.00270508
283	0.00257843
284	0.00300403
285	0.00242785
286	0.00292345
287	0.00328933
288	0.00337425
289	0.00327687
290	0.00242389
291	0.00304627
292	0.00234213
293	0.00273348
294	0.00300373
295	0.00286942
296	0.00306934
297	0.00291278
298	0.0022571
299	0.00335361
300	0.00337582
301	0.00250981
302	0.00286052
303	0.00332964
304	0.00307057
305	0.00247572
306	0.00263129
307	0.00351159
308	0.00238838
309	0.00283043
310	0.00330649
311	0.00313555
312	0.00225189
313	0.00303067
314	0.0036945
315	0.00332657
316	0.00242529
317	0.00347734
318	0.00344258
319	0.00287151
320	0.00248372
321	0.00268451
322	0.00266977
323	0.00252851
325	0.00256459
326	0.00348431
327	0.00349317
328	0.00268279
329	0.00284182
330	0.00124386
331	0.00255331
332	0.00234471
333	0.00122466
334	0.00275436
335	0.00292771
336	0.00237105
337	0.0024861
338	0.00225247
339	0.00249974
340	0.00362928
341	0.00298396
342	0.00173601
343	0.00588428
344	0.00315585
345	0.00280838
346	0.00180276
347	0.00284933
348	0.00296612
349	0.00191827
350	0.00162096
351	0.00300892
352	0.0021037
353	0.00460107
354	0.00215408
355	0.00243162
356	0.0026297
357	0.00244806
358	0.00264395
359	0.00172733
360	0.00322423
361	0.00253745
362	0.00212558
363	0.00318227
364	0.00294005
365	0.00218841
366	0.00267947
367	0.00225678
369	0.00573892
370	0.00268764
371	0.00326686
372	0.00268065
373	0.00328968
375	0.00330143
376	0.00409092
377	0.00390845
378	0.00218506
379	0.00348334
380	0.00250059
381	0.00133304
382	0.00309467
383	0.00266306
384	0.00279699
385	0.00198105
386	0.00238207
387	0.00307201
388	0.00220479
389	0.00241756
391	0.00273632
392	0.00334224
393	0.00314465
394	0.00192975
395	0.00183133
396	0.00301587
397	0.00412935
398	0.00204079
399	0.00277301
400	0.00193768
401	0.00175192
402	0.00140544
404	0.00199344
405	0.00124679
406	0.00366917
411	0.00235155
412	0.00235896
413	0.00189636
414	0.00345185
415	0.000986654
416	0.0022624
417	0.00180071
419	0.00202257
420	0.00264706
421	0.00381492
422	0.00246587
423	0.00288432
424	0.0033645
425	0.00155383
428	0.00392758
430	0.00254934
432	0.00200538
433	0.00236436
434	0.00192633
436	0.0037017
437	0.00281277
438	0.00231099
439	0.00490891
441	0.00246574
442	0.00312808
444	0.00151506
445	0.00217464
447	0.00180124
450	0.00114823
452	0.00374443
453	0.00244683
455	0.0012877
456	0.0038352
458	0.00301386
460	0.00206417
461	0.00177824
462	0.00194992
463	0.00287273
465	0.00422384
466	0.00213208
468	0.00217603
470	0.00346828
471	0.00146145
472	0.00285499
473	0.00220823
475	0.00354792
481	0.00238033
482	0.00380863
486	0.00124366
487	0.00233277
488	0.00205339
490	0.00179356
492	0.00285011
493	0.00346978
496	0.00308785
497	0.00246372
498	0.00296079
502	0.00218591
506	0.00232003
507	0.00574377
509	0.00120937
510	0.00282639
517	0.0025471
518	0.00198068
522	0.00169141
524	0.00271116
525	0.00210464
526	0.0020641
527	0.00253093
528	0.0020492
530	0.00392135
532	0.00173194
534	0.00616959
538	0.00209485
542	0.00192346
545	0.00186912
546	0.00215676
547	0.00160218
548	0.00223462
550	0.00364514
551	0.00166935
552	0.00493097
558	0.00197202
563	0.00167775
564	0.00402826
566	0.00157603
567	0.00429388
568	0.0011675
577	0.0015653
580	0.00128741
584	0.00209311
592	0.00116436
593	0.00241961
598	0.00273714
608	0.00126036
613	0.00254827
614	0.0013125
618	0.00138317
619	0.003116
624	0.00207527
626	0.00256001
629	0.00133985
633	0.00183308
