#
# Clustering Coefficient Distribution. G(75718, 525348). Average clustering: 0.0016  OpenTriads: 22837986 (0.9996)  ClosedTriads: 8774 (0.0004) (Wed Apr 30 17:12:35 2014)
#
# Node degree	Average clustering coefficient
1	0
2	0.00318269
3	0.00167785
4	0.00160289
5	0.00163149
6	0.00224572
7	0.00164954
8	0.00154484
9	0.00145795
10	0.00172434
11	0.0017354
12	0.00173057
13	0.00159599
14	0.00147653
15	0.00175331
16	0.00170108
17	0.00153522
18	0.00170056
19	0.00155173
20	0.00184145
21	0.00170179
22	0.00164279
23	0.00136237
24	0.00147489
25	0.00176814
26	0.00163601
27	0.00164655
28	0.00161798
29	0.00144346
30	0.00160656
31	0.0016828
32	0.00145723
33	0.00163222
34	0.00159697
35	0.00145034
36	0.00179119
37	0.00138078
38	0.00147058
39	0.00147072
40	0.00134141
41	0.00156418
42	0.00132816
43	0.00168173
44	0.00151349
45	0.00170451
46	0.0015452
47	0.00170143
48	0.00151894
49	0.00152141
50	0.00166601
51	0.00148249
52	0.00153386
53	0.00143596
54	0.00146871
55	0.00128134
56	0.00133874
57	0.00141112
58	0.0013516
59	0.00126829
60	0.00125008
61	0.00129073
62	0.00161445
63	0.00138984
64	0.00131443
65	0.00126324
66	0.00123102
67	0.00142802
68	0.00140467
69	0.00163601
70	0.00153187
71	0.00129548
72	0.0014854
73	0.00121758
74	0.00136896
75	0.00118548
76	0.00134697
77	0.00130956
78	0.00129491
79	0.00130956
80	0.00172824
81	0.0011093
82	0.00132117
83	0.00135521
84	0.0012208
85	0.00145662
86	0.00150767
87	0.00116658
88	0.00144035
89	0.00114293
90	0.00123581
91	0.00124613
92	0.00170376
93	0.00123527
94	0.00119468
95	0.00167489
96	0.00114331
97	0.00161752
98	0.00147173
99	0.00200062
100	0.0012465
101	0.00123114
102	0.00114873
103	0.0012896
104	0.00101929
105	0.00100079
106	0.0015286
107	0.000872803
108	0.00128755
109	0.000911107
110	0.00114191
111	0.000952532
112	0.00105865
113	0.00132296
114	0.000869437
115	0.00113122
116	0.00110003
117	0.00110642
118	0.000928074
119	0.00131004
120	0.00188817
121	0.00118265
122	0.000785884
123	0.00140612
124	0.00154625
125	0.00124995
126	0.000896482
127	0.00186519
128	0.00102886
129	0.000977904
130	0.00100331
131	0.000789689
132	0.00081501
133	0.000867702
134	0.00116431
135	0.000970596
136	0.00115846
137	0.00113699
138	0.00150217
139	0.00153885
140	0.00120563
141	0.000943708
142	0.000653507
143	0.00198938
144	0.000938876
145	0.00109314
146	0.000964677
147	0.000901573
148	0.000804054
149	0.00157961
150	0.00098434
151	0.0010596
152	0.000525456
154	0.000749349
155	0.00161114
156	0.0017331
157	0.000707572
158	0.00117992
159	0.000915122
160	0.00117992
161	0.00074444
162	0.000498428
163	0.00136333
164	0.0008978
165	0.00175352
166	0.000989323
167	0.00145143
168	0.000788011
169	0.000211327
171	0.00158239
172	0.000526073
173	0.000840167
174	0.00114759
175	0.000656814
176	0.00113786
177	0.00102145
178	0.000746762
181	0.00108166
182	0.00151782
183	0.00126734
184	0.000727369
185	0.00168829
186	0.00170388
187	0.00136312
189	0.00106589
191	0.00148383
192	0.000576088
193	0.00173703
194	0.00121287
195	0.000601911
196	0.00100433
197	0.00159981
198	0.00143568
199	0.000776961
200	0.0008607
202	0.00162554
203	0.000660319
204	0.000713422
205	0.000802587
208	0.000559218
209	0.00115681
212	0.00139923
214	0.00171999
215	0.000708654
216	0.000931487
218	0.000803281
219	0.000546331
222	0.000699301
223	0.000807983
224	0.00105675
225	0.00159182
226	0.000393314
228	0.000734214
229	0.000612886
230	0.000645529
231	0.00127988
232	0.000911206
233	0.000517981
234	0.000696966
235	0.000872886
237	0.000679396
238	0.000685179
239	0.000492247
240	0.000453278
241	0.00052171
242	0.000581154
244	0.00060562
245	0.000910747
246	0.00139373
248	0.000757052
255	0.000648448
257	0.000668774
260	0.000623701
261	0.00164416
264	0.000603264
266	0.00122003
271	0.000881179
273	0.000538677
276	0.00166354
278	0.000701244
279	0.000670431
285	0.000840128
288	0.000441501
291	0.000782083
293	0.00151947
294	0.000859047
303	0.000572045
305	0.000560828
309	0.000840583
316	0.000281294
321	0.000295735
322	0.000832027
323	0.000615349
325	0.000968661
331	0.00108029
332	0.000618789
333	0.000479395
334	0.00116883
338	0.000518366
339	0.000768009
340	0.000711435
343	0.00142223
347	0.000670185
348	0.000645931
355	0.00154248
356	0.0011236
357	0.000550782
360	0.000742804
361	0.000742804
380	0.000569365
385	0.000419372
387	0.000522151
389	0.000477036
395	0.000713276
398	0.000594914
410	0.000467424
411	0.000380757
421	0.000576858
438	0.000535343
451	0.00054442
453	0.000673973
468	0.000649719
481	0.000753638
506	0.000555708
522	0.00057361
525	0.000610687
541	0.00104744
658	0.000536657
748	0.000705138
892	0.000681957
970	0.000619195
988	0.000724869
1026	0.000640898
1040	0.000603391
1228	0.000714117
