#
# Clustering Coefficient Distribution. G(78415, 1619335). Average clustering: 0.0568  OpenTriads: 218526266 (0.9967)  ClosedTriads: 722326 (0.0033) (Sun May  4 14:17:54 2014)
#
# Node degree	Average clustering coefficient
1	0
2	0.218558
3	0.182494
4	0.150927
5	0.130729
6	0.112618
7	0.100256
8	0.0924174
9	0.0845888
10	0.0778126
11	0.0727108
12	0.0685851
13	0.0655333
14	0.0626074
15	0.0587652
16	0.0546676
17	0.0521656
18	0.05058
19	0.0474667
20	0.0475606
21	0.0458373
22	0.0433454
23	0.0430313
24	0.0416658
25	0.039036
26	0.0386838
27	0.0369541
28	0.0367208
29	0.0347578
30	0.0339324
31	0.0331842
32	0.0327133
33	0.0326945
34	0.0309426
35	0.0310562
36	0.0305415
37	0.02866
38	0.0291279
39	0.0281446
40	0.0277689
41	0.0273723
42	0.0261843
43	0.0263092
44	0.0253868
45	0.0254011
46	0.0245376
47	0.0244851
48	0.0240357
49	0.0238599
50	0.023776
51	0.0221533
52	0.0225343
53	0.0227199
54	0.0217233
55	0.0219321
56	0.0210223
57	0.0208374
58	0.0214954
59	0.02058
60	0.0208378
61	0.0204649
62	0.0200732
63	0.0199543
64	0.019276
65	0.0192967
66	0.0184263
67	0.0191898
68	0.0182666
69	0.0180947
70	0.0179759
71	0.0180948
72	0.0172109
73	0.0176921
74	0.017075
75	0.0165565
76	0.0169965
77	0.0166678
78	0.0171082
79	0.017145
80	0.01617
81	0.0171404
82	0.0153263
83	0.0162869
84	0.0154337
85	0.0147227
86	0.0153508
87	0.0157057
88	0.0159284
89	0.015055
90	0.015126
91	0.0145301
92	0.0147926
93	0.0152353
94	0.0144419
95	0.0145064
96	0.0142746
97	0.0142207
98	0.0140534
99	0.0144754
100	0.0132491
101	0.0139592
102	0.0143418
103	0.0136009
104	0.0135954
105	0.0134844
106	0.0137383
107	0.0131538
108	0.0125121
109	0.0129351
110	0.0132237
111	0.0136059
112	0.013063
113	0.0127211
114	0.01203
115	0.0123305
116	0.0123334
117	0.0122896
118	0.0125003
119	0.0116553
120	0.0118023
121	0.0114297
122	0.0120334
123	0.0113888
124	0.0120955
125	0.011916
126	0.0110487
127	0.0117146
128	0.0111576
129	0.011187
130	0.0112824
131	0.0111245
132	0.0116762
133	0.0115976
134	0.0112949
135	0.0107179
136	0.0114477
137	0.0112534
138	0.0112227
139	0.0112706
140	0.00938746
141	0.0109606
142	0.0105688
143	0.0103997
144	0.0104757
145	0.0108133
146	0.0105182
147	0.0106352
148	0.01017
149	0.0113428
150	0.00987499
151	0.0108127
152	0.0105307
153	0.00993426
154	0.0103587
155	0.0104722
156	0.0105938
157	0.0100201
158	0.00984206
159	0.00984899
160	0.00936686
161	0.0106139
162	0.00924364
163	0.00917987
164	0.00946451
165	0.00936716
166	0.00863297
167	0.00853391
168	0.00938063
169	0.00933009
170	0.00932225
171	0.0100216
172	0.0101527
173	0.00883171
174	0.00946268
175	0.00875229
176	0.00842509
177	0.00924623
178	0.00870791
179	0.00888561
180	0.00813171
181	0.00823372
182	0.00880734
183	0.00854056
184	0.00820812
185	0.00790051
186	0.00985359
187	0.00891744
188	0.00762701
189	0.00857145
190	0.0076348
191	0.00754221
192	0.00857013
193	0.00846757
194	0.00787216
195	0.00830458
196	0.00889698
197	0.00811143
198	0.00881255
199	0.00836109
200	0.00815511
201	0.00896978
202	0.00852571
203	0.00958014
204	0.00798736
205	0.00893133
206	0.00761337
207	0.00940706
208	0.00789265
209	0.00801468
210	0.00905885
211	0.00920642
212	0.00899019
213	0.00766426
214	0.00809089
215	0.00857145
216	0.00771417
217	0.00946919
218	0.00849625
219	0.00820699
220	0.0072004
221	0.00884412
222	0.00784961
223	0.00894029
224	0.00758027
225	0.00845761
226	0.00749545
227	0.00670662
228	0.00804
229	0.00856744
230	0.00663965
231	0.00711853
232	0.007772
233	0.00721349
234	0.00759662
235	0.00746179
236	0.00696423
237	0.00699045
238	0.00869879
239	0.00766773
240	0.0070781
241	0.00813288
242	0.00686141
243	0.00660135
244	0.00683206
245	0.00689593
246	0.00776966
247	0.00731311
248	0.00676422
249	0.0065006
250	0.00851382
251	0.00721195
252	0.00701066
253	0.00711321
254	0.00717063
255	0.00714872
256	0.00803294
257	0.00775505
258	0.00768245
259	0.00700024
260	0.00703805
261	0.0071485
262	0.00685691
263	0.00611943
264	0.00679645
265	0.00722443
266	0.005916
267	0.00797758
268	0.00600637
269	0.00714145
270	0.00653201
271	0.00890921
272	0.00462935
273	0.00545855
274	0.00670303
275	0.00714554
276	0.00588065
277	0.00697537
278	0.00684758
279	0.00648974
280	0.00706708
281	0.00722257
282	0.00740245
283	0.00680149
284	0.00793822
285	0.00501606
286	0.00599482
287	0.00774555
288	0.00567596
289	0.0063868
290	0.0045461
291	0.00483101
292	0.00605083
293	0.00594119
294	0.0063125
295	0.00714136
296	0.00453448
297	0.00513019
298	0.00661616
299	0.00472866
300	0.00696661
301	0.00522702
302	0.00551742
303	0.00885168
304	0.00644867
305	0.00431406
306	0.00611645
307	0.00543953
308	0.00675922
309	0.00567769
310	0.00602108
311	0.00735069
312	0.00480911
313	0.00545452
314	0.00688625
315	0.00647897
316	0.00652796
317	0.00562972
318	0.00597836
319	0.00522297
320	0.00541412
321	0.00655117
322	0.0056842
323	0.00557785
324	0.0056032
325	0.00537513
326	0.00619138
327	0.00558198
328	0.0054254
329	0.00575762
330	0.00702249
331	0.00447146
332	0.00485568
333	0.00625423
334	0.0064735
335	0.00489984
336	0.00543115
337	0.00614499
338	0.00414377
340	0.00569148
341	0.00535856
342	0.00676545
343	0.00638136
344	0.00528713
345	0.00714371
346	0.00436397
348	0.00450852
349	0.00672968
350	0.00330741
351	0.00524135
352	0.00677448
353	0.0057623
354	0.0068019
356	0.00580788
358	0.00479483
359	0.0058278
360	0.00567106
361	0.00774923
362	0.00419339
363	0.00760528
364	0.00524032
365	0.00649894
366	0.00365297
367	0.00473489
368	0.00579385
369	0.00400613
370	0.00596112
371	0.00451665
372	0.00591978
373	0.00722186
375	0.00383629
376	0.00775616
377	0.00434991
378	0.0044349
379	0.005203
381	0.00433301
382	0.0058603
