#
# Clustering Coefficient Distribution. G(80374, 1730617). Average clustering: 0.0478  OpenTriads: 201126614 (0.9965)  ClosedTriads: 704400 (0.0035) (Mon May  5 02:51:35 2014)
#
# Node degree	Average clustering coefficient
1	0
2	0.127084
3	0.136471
4	0.118848
5	0.11008
6	0.0913291
7	0.0830365
8	0.0751095
9	0.0697902
10	0.0668388
11	0.0619472
12	0.0589948
13	0.0573104
14	0.0537453
15	0.0517204
16	0.0489721
17	0.0466113
18	0.0466807
19	0.04481
20	0.041597
21	0.041647
22	0.0395879
23	0.0390424
24	0.0371853
25	0.0361337
26	0.035035
27	0.0362364
28	0.0346055
29	0.032779
30	0.0332314
31	0.0324725
32	0.0326329
33	0.0319468
34	0.0304185
35	0.0298172
36	0.0298917
37	0.0293291
38	0.0280547
39	0.0284303
40	0.0278156
41	0.0274451
42	0.0261797
43	0.0262685
44	0.0262271
45	0.0252623
46	0.0255615
47	0.0260658
48	0.0251028
49	0.0242658
50	0.0246699
51	0.0241586
52	0.0235002
53	0.0238239
54	0.0235256
55	0.0220499
56	0.0227319
57	0.0212797
58	0.0225915
59	0.0217738
60	0.0224384
61	0.0211486
62	0.020166
63	0.0203436
64	0.0206498
65	0.0205501
66	0.0207784
67	0.019374
68	0.0207661
69	0.0203266
70	0.0193111
71	0.0192103
72	0.018729
73	0.0188862
74	0.0196405
75	0.0184984
76	0.0196485
77	0.0191499
78	0.0190123
79	0.0177214
80	0.0180868
81	0.017304
82	0.0181687
83	0.0179124
84	0.0173974
85	0.0169769
86	0.0170979
87	0.0166056
88	0.0172691
89	0.0161414
90	0.0179705
91	0.0162295
92	0.016723
93	0.016852
94	0.016874
95	0.0175271
96	0.0158568
97	0.0164714
98	0.0161879
99	0.0159271
100	0.0158091
101	0.0157019
102	0.0164873
103	0.0164031
104	0.0155627
105	0.0158522
106	0.0154338
107	0.0148383
108	0.0151314
109	0.0139106
110	0.0148625
111	0.0146642
112	0.015005
113	0.0146222
114	0.0146406
115	0.0142971
116	0.0150229
117	0.0148697
118	0.014303
119	0.0135265
120	0.0146434
121	0.01368
122	0.0155772
123	0.01447
124	0.0138997
125	0.0137808
126	0.0136467
127	0.0144715
128	0.0131021
129	0.0127943
130	0.0130893
131	0.0126366
132	0.0130531
133	0.0140423
134	0.0143856
135	0.0141314
136	0.012687
137	0.0134499
138	0.0131386
139	0.0126117
140	0.01322
141	0.0130973
142	0.014144
143	0.0128543
144	0.0125175
145	0.0121197
146	0.0129702
147	0.0129955
148	0.0131314
149	0.0124456
150	0.0125356
151	0.0116505
152	0.0122685
153	0.0130833
154	0.0123874
155	0.0124075
156	0.0112145
157	0.0116746
158	0.011992
159	0.0125621
160	0.0117322
161	0.0112199
162	0.012291
163	0.0117416
164	0.011986
165	0.0113856
166	0.0123737
167	0.0107275
168	0.0112614
169	0.0119572
170	0.011264
171	0.0117097
172	0.0111245
