#
# Clustering Coefficient Distribution. G(80307, 1730617). Average clustering: 0.0405  OpenTriads: 544672961 (0.9926)  ClosedTriads: 4033718 (0.0074) (Mon May  5 02:51:29 2014)
#
# Node degree	Average clustering coefficient
1	0
2	0.0690972
3	0.0703568
4	0.0613208
5	0.0602988
6	0.0538738
7	0.0501519
8	0.0481968
9	0.046439
10	0.0445087
11	0.0433904
12	0.0438548
13	0.0415308
14	0.0407957
15	0.040636
16	0.0396132
17	0.0394737
18	0.0393209
19	0.0374663
20	0.0384549
21	0.0371359
22	0.0380954
23	0.0359202
24	0.0357327
25	0.0363605
26	0.0368851
27	0.034571
28	0.0356606
29	0.0361599
30	0.0339172
31	0.0344427
32	0.0337867
33	0.0349341
34	0.034181
35	0.0338833
36	0.0351958
37	0.0345916
38	0.0340142
39	0.0336049
40	0.0330578
41	0.0341415
42	0.0331144
43	0.032862
44	0.0332402
45	0.0332553
46	0.0319387
47	0.0321818
48	0.0312999
49	0.0331171
50	0.0308021
51	0.032291
52	0.0322398
53	0.0337433
54	0.0332018
55	0.031033
56	0.0312496
57	0.0308737
58	0.0323759
59	0.0310083
60	0.0315323
61	0.0318741
62	0.0328461
63	0.0324009
64	0.0326467
65	0.0310875
66	0.0317939
67	0.0309765
68	0.0313369
69	0.0306055
70	0.0332396
71	0.0309347
72	0.0326234
73	0.0309969
74	0.0300843
75	0.0310657
76	0.0309235
77	0.0310432
78	0.0316921
79	0.0333375
80	0.0327342
81	0.0305908
82	0.0303058
83	0.0311145
84	0.0309619
85	0.0295572
86	0.0307623
87	0.0309548
88	0.0309889
89	0.0302047
90	0.0317782
91	0.0300667
92	0.0309081
93	0.030698
94	0.0295275
95	0.03032
96	0.0298104
97	0.0293092
98	0.0302359
99	0.0287472
100	0.0320487
101	0.0298357
102	0.0297739
103	0.0311278
104	0.0306084
105	0.0289588
106	0.0310312
107	0.0313284
108	0.0288818
109	0.0298809
110	0.0295045
111	0.0307654
112	0.0288673
113	0.0308121
114	0.0296065
115	0.0290279
116	0.0285629
117	0.0310114
118	0.0273963
119	0.0299221
120	0.0301897
121	0.0304162
122	0.0286039
123	0.0289481
124	0.0291169
125	0.0279359
126	0.0291095
127	0.0278423
128	0.0298741
129	0.0305119
130	0.0290176
131	0.0304152
132	0.0291555
133	0.0303289
134	0.0304609
135	0.0281477
136	0.0298617
137	0.0277061
138	0.0293759
139	0.0274264
140	0.031222
141	0.029766
142	0.0276311
143	0.0300729
144	0.0271342
145	0.0294935
146	0.0278296
147	0.0304861
148	0.0282189
149	0.0276272
150	0.0299418
151	0.0292337
152	0.0301009
153	0.0299238
154	0.029957
155	0.0279406
156	0.0286859
157	0.0279895
158	0.0314896
159	0.0294727
160	0.0276028
161	0.0285143
162	0.0305826
163	0.0288736
164	0.0303
165	0.0309355
166	0.0287997
167	0.0298729
168	0.0294214
169	0.0295738
170	0.0288003
171	0.0319223
172	0.0292629
173	0.0290755
174	0.0289611
175	0.0293871
176	0.0306816
177	0.0311087
178	0.0277557
179	0.0275123
180	0.0284768
181	0.0276845
