#
# Clustering Coefficient Distribution. G(78665, 2362970). Average clustering: 0.0578  OpenTriads: 1276352004 (0.9873)  ClosedTriads: 16467712 (0.0127) (Sun Apr 27 15:07:28 2014)
#
# Node degree	Average clustering coefficient
1	0
2	0.0534141
3	0.0560814
4	0.0570278
5	0.0579781
6	0.0629615
7	0.0629985
8	0.0602953
9	0.0633399
10	0.0632515
11	0.0629468
12	0.0590692
13	0.0624185
14	0.0617697
15	0.0631628
16	0.0630701
17	0.0658272
18	0.061446
19	0.0635584
20	0.0645038
21	0.062868
22	0.0639432
23	0.0614522
24	0.0624362
25	0.0656329
26	0.0643281
27	0.0624411
28	0.0612511
29	0.0624733
30	0.0635677
31	0.0620475
32	0.0641991
33	0.0631542
34	0.0638581
35	0.0616463
36	0.0632569
37	0.0613691
38	0.0622124
39	0.0610672
40	0.0627732
41	0.0621553
42	0.0622906
43	0.0607292
44	0.0631876
45	0.0601716
46	0.0620739
47	0.0632478
48	0.0636101
49	0.06371
50	0.0615306
51	0.0634637
52	0.0620716
53	0.0605755
54	0.0601655
55	0.062959
56	0.0616885
57	0.0627006
58	0.0643217
59	0.0622207
60	0.0630398
61	0.0642596
62	0.06062
63	0.0625042
64	0.0632195
65	0.0621934
66	0.0641004
67	0.0616182
68	0.0594088
69	0.06153
70	0.0631915
71	0.0605877
72	0.0619747
73	0.0584669
74	0.0632949
75	0.0616765
76	0.061232
77	0.0596743
78	0.0606471
79	0.0591391
80	0.0599923
81	0.0606185
82	0.0620884
83	0.0605465
84	0.0615535
85	0.0610068
86	0.0633623
87	0.0612393
88	0.0631397
89	0.0615791
90	0.0610325
91	0.0635199
92	0.0617139
93	0.0595944
94	0.0622605
95	0.0570517
96	0.0642567
97	0.0606908
98	0.0618366
99	0.0608167
100	0.0599008
101	0.0619666
102	0.0602502
103	0.0593081
104	0.0591288
105	0.059355
106	0.0595783
107	0.0590606
108	0.057995
109	0.0591312
110	0.0589402
111	0.0631334
112	0.059049
113	0.0625659
114	0.0581805
115	0.0591116
116	0.0613651
117	0.0583026
118	0.0606259
119	0.0602684
120	0.0577124
121	0.0605041
122	0.058463
123	0.0599189
124	0.0595403
125	0.0618345
126	0.062609
127	0.0602685
128	0.0625467
129	0.0603399
130	0.0612763
131	0.0596171
132	0.058742
133	0.0623527
134	0.0575939
135	0.0626614
136	0.0563879
137	0.0621706
138	0.0611108
139	0.0619429
140	0.0589821
141	0.0596774
142	0.0565911
143	0.0592082
144	0.060369
145	0.0591731
146	0.060246
147	0.0578078
148	0.0591393
149	0.059598
150	0.061166
151	0.0595985
152	0.0578671
153	0.0578677
154	0.0592282
155	0.0574317
156	0.0604459
157	0.0611065
158	0.057827
159	0.0562579
160	0.0587855
161	0.061632
162	0.0603846
163	0.0561505
164	0.0579038
165	0.0615568
166	0.0598389
167	0.0590175
168	0.0591689
169	0.0622065
170	0.0637673
171	0.0613586
172	0.0584656
173	0.0596556
174	0.0642433
175	0.0562593
176	0.0568433
177	0.0602015
178	0.0600695
179	0.0587324
180	0.0612844
181	0.0602968
182	0.0626418
183	0.0571459
184	0.0590243
185	0.0581604
186	0.0630509
187	0.0615051
188	0.057477
189	0.0549853
190	0.0567713
191	0.0648396
192	0.0570619
193	0.0594806
194	0.0569883
195	0.0597214
196	0.0555711
197	0.05929
198	0.061317
199	0.0592279
200	0.0545987
201	0.0607644
202	0.0565999
203	0.0596464
204	0.0633068
205	0.0544603
206	0.0611208
207	0.0592618
208	0.0606109
209	0.0582175
210	0.0585189
211	0.0547036
212	0.0636995
213	0.0568748
214	0.0587494
215	0.0595124
216	0.0607269
217	0.0554236
218	0.0564138
219	0.060168
220	0.0586346
221	0.0614894
222	0.0552491
