#
# Clustering Coefficient Distribution. G(80155, 2145624). Average clustering: 0.0749  OpenTriads: 990539227 (0.9907)  ClosedTriads: 9256832 (0.0093) (Sun May  4 21:56:48 2014)
#
# Node degree	Average clustering coefficient
1	0
2	0.124001
3	0.127998
4	0.12341
5	0.118467
6	0.111111
7	0.103355
8	0.0997321
9	0.0932304
10	0.0917514
11	0.0869264
12	0.0844517
13	0.0835926
14	0.0806055
15	0.0782668
16	0.0798421
17	0.0761834
18	0.0730086
19	0.0730233
20	0.0723121
21	0.0696102
22	0.0711185
23	0.0673462
24	0.0678368
25	0.0654379
26	0.0676466
27	0.0660688
28	0.064549
29	0.0647177
30	0.063388
31	0.0629775
32	0.0621489
33	0.0620203
34	0.0614575
35	0.0610538
36	0.0601627
37	0.062035
38	0.0595994
39	0.0588594
40	0.0579574
41	0.0592199
42	0.0569788
43	0.0575519
44	0.0586336
45	0.0592297
46	0.056892
47	0.0581879
48	0.0557968
49	0.056116
50	0.0580438
51	0.05584
52	0.0553524
53	0.055187
54	0.0549289
55	0.0536203
56	0.0543091
57	0.0546044
58	0.0543793
59	0.0539683
60	0.054536
61	0.0539613
62	0.0536889
63	0.0528223
64	0.0546921
65	0.0541971
66	0.052987
67	0.0527115
68	0.0550513
69	0.052808
70	0.0519594
71	0.0540738
72	0.0524697
73	0.0517709
74	0.0533816
75	0.0510176
76	0.0512043
77	0.0512024
78	0.0503673
79	0.0520305
80	0.0507999
81	0.0515451
82	0.0523551
83	0.0512645
84	0.0521362
85	0.0518703
86	0.0509788
87	0.0506853
88	0.0504114
89	0.0503179
90	0.0508057
91	0.0491474
92	0.0501104
93	0.0486629
94	0.0477928
95	0.0505175
96	0.0504071
97	0.0501695
98	0.0512897
99	0.0490865
100	0.0488738
101	0.0494809
102	0.0487229
103	0.0510153
104	0.0498335
105	0.0491115
106	0.0485966
107	0.0499533
108	0.0467779
109	0.0492454
110	0.0485302
111	0.0502113
112	0.0477126
113	0.047094
114	0.0483547
115	0.0469443
116	0.0488882
117	0.0486018
118	0.0480933
119	0.0495226
120	0.0499644
121	0.0507633
122	0.0472298
123	0.0499303
124	0.0464954
125	0.0468495
126	0.0495067
127	0.049067
128	0.0472416
129	0.0476682
130	0.0497298
131	0.0474136
132	0.0487758
133	0.0464748
134	0.046485
135	0.0460822
136	0.0476468
137	0.0456225
138	0.0470181
139	0.0455873
140	0.0476933
141	0.0474152
142	0.0466167
143	0.0484374
144	0.0487602
145	0.0482864
146	0.0478059
147	0.0456038
148	0.0453802
149	0.0461834
150	0.0477334
151	0.0473764
152	0.0469544
153	0.0466723
154	0.0467824
155	0.0472353
156	0.0436819
157	0.0494722
158	0.0454297
159	0.0456076
160	0.0459882
161	0.0464436
162	0.0454382
163	0.0463747
164	0.0484928
165	0.0450708
166	0.0452597
167	0.0447531
168	0.0453509
169	0.0487486
170	0.0452764
171	0.0496887
172	0.0479146
173	0.0472044
174	0.0462315
175	0.0453151
176	0.0466208
177	0.0458635
178	0.0463954
179	0.0435366
180	0.0471066
181	0.0470818
182	0.0466377
183	0.0475054
184	0.0448031
185	0.0467169
186	0.0443085
187	0.0483952
188	0.0433759
189	0.04138
190	0.0452159
191	0.0447683
192	0.0433103
193	0.0474022
194	0.0470037
195	0.0461481
196	0.0423775
197	0.0433943
198	0.045802
199	0.0422359
200	0.0438346
201	0.049105
202	0.0449871
203	0.0453336
204	0.0460769
205	0.0434876
206	0.0447985
207	0.0491822
208	0.0459786
209	0.0436726
210	0.0427743
211	0.0456325
212	0.04274
213	0.0442774
214	0.0437622
215	0.0440774
216	0.0449837
217	0.0431775
218	0.0455005
219	0.0428577
220	0.0449723
221	0.0421314
222	0.0431091
223	0.0497729
224	0.0431826
225	0.0425356
226	0.0436475
227	0.0418844
228	0.0427339
229	0.0419565
230	0.0448151
231	0.0434768
232	0.0452955
233	0.0449047
234	0.0451512
235	0.0456569
236	0.0466227
237	0.0456163
238	0.0431138
239	0.0437724
240	0.0424948
241	0.045625
242	0.042042
243	0.045779
244	0.0472629
245	0.0439845
246	0.0441017
247	0.0416806
248	0.0428794
