#
# Clustering Coefficient Distribution. G(13358, 50111). Average clustering: 0.1274  OpenTriads: 1255302 (0.9395)  ClosedTriads: 80847 (0.0605) (Sun Apr 27 20:55:21 2014)
#
# Node degree	Average clustering coefficient
1	0
2	0.099758
3	0.1661
4	0.134327
5	0.18547
6	0.151608
7	0.188095
8	0.168711
9	0.198017
10	0.185288
11	0.171011
12	0.188198
13	0.183402
14	0.162261
15	0.218301
16	0.186455
17	0.193189
18	0.221873
19	0.231117
20	0.174465
21	0.165737
22	0.173231
23	0.202511
24	0.219767
25	0.164739
26	0.265999
27	0.171199
28	0.214492
29	0.227351
30	0.179789
31	0.113654
32	0.196039
33	0.183059
34	0.291232
35	0.207527
36	0.16805
37	0.113351
38	0.132582
39	0.170325
40	0.173131
41	0.141984
42	0.230743
43	0.284779
44	0.245266
45	0.301048
46	0.200378
47	0.34045
48	0.23678
49	0.22522
50	0.196379
51	0.0894204
52	0.221567
53	0.208866
54	0.205901
55	0.19535
56	0.497696
57	0.179743
58	0.234007
59	0.330703
60	0.243906
61	0.215254
62	0.470089
63	0.330849
64	0.198814
65	0.413495
66	0.346243
67	0.178738
68	0.307748
69	0.400276
70	0.246217
71	0.114883
72	0.296403
73	0.183333
74	0.704403
75	0.497127
76	0.136298
77	0.251869
78	0.35753
79	0.297814
80	0.401824
81	0.295529
82	0.303364
83	0.159902
84	0.0307136
86	0.508554
87	0.156924
88	0.499876
89	0.195882
90	0.0957559
91	0.335879
92	0.453116
93	0.430083
94	0.641888
95	0.417058
96	0.584273
97	0.311919
98	0.274739
99	0.319192
100	0.426417
101	0.40195
103	0.553372
104	0.0816715
105	0.0956955
106	0.0984848
107	0.110317
108	0.597043
109	0.572256
110	0.65866
111	0.0640586
112	0.618079
113	0.115824
114	0.0598901
115	0.560351
116	0.604026
117	0.342668
118	0.0517193
119	0.328289
120	0.0952203
121	0.399025
122	0.392593
123	0.623423
125	0.242547
127	0.249979
128	0.199535
129	0.0375774
130	0.624804
132	0.576091
133	0.571026
134	0.0749427
137	0.0265951
138	0.355862
148	0.0648588
154	0.0285403
166	0.0677653
175	0.0662584
180	0.0486635
181	0.0637985
183	0.0321498
188	0.0549451
195	0.0437047
198	0.0721698
217	0.0188603
226	0.0437761
237	0.046845
246	0.0231695
262	0.0120332
264	0.0322158
285	0.0416577
347	0.00818287
389	0.0426056
448	0.0325498
