#
# Clustering Coefficient Distribution. G(70931, 531032). Average clustering: 0.2078  OpenTriads: 31355847 (0.9541)  ClosedTriads: 1509113 (0.0459) (Sun Apr 27 19:27:54 2014)
#
# Node degree	Average clustering coefficient
1	0
2	0.252995
3	0.268707
4	0.261433
5	0.257575
6	0.256251
7	0.259275
8	0.249454
9	0.254112
10	0.249214
11	0.242176
12	0.240673
13	0.24027
14	0.238758
15	0.242242
16	0.23061
17	0.234136
18	0.235608
19	0.235009
20	0.228658
21	0.232738
22	0.225528
23	0.22809
24	0.227738
25	0.231115
26	0.231693
27	0.217046
28	0.213322
29	0.228809
30	0.216691
31	0.229063
32	0.208788
33	0.212705
34	0.211742
35	0.225323
36	0.22605
37	0.220621
38	0.197642
39	0.205595
40	0.215833
41	0.210389
42	0.203597
43	0.211663
44	0.202889
45	0.229026
46	0.202406
47	0.20525
48	0.197985
49	0.222846
50	0.190309
51	0.209661
52	0.212656
53	0.213808
54	0.207378
55	0.192365
56	0.21331
57	0.214569
58	0.189164
59	0.209163
60	0.20536
61	0.183078
62	0.197215
63	0.192724
64	0.194253
65	0.211454
66	0.18423
67	0.202257
68	0.210204
69	0.222324
70	0.21069
71	0.161369
72	0.193827
73	0.187935
74	0.192196
75	0.176394
76	0.18287
77	0.183844
78	0.200243
79	0.197101
80	0.174028
81	0.223625
82	0.185983
83	0.186233
84	0.180012
85	0.167926
86	0.228913
87	0.169424
88	0.191492
89	0.18371
90	0.182888
91	0.22157
92	0.219455
93	0.156063
94	0.179557
95	0.162822
96	0.139938
97	0.172412
98	0.163097
99	0.193944
100	0.165146
101	0.165562
102	0.191406
103	0.210214
104	0.16417
105	0.144627
106	0.18057
107	0.135037
108	0.195469
109	0.15755
110	0.190348
111	0.125408
112	0.195495
113	0.163059
114	0.186462
115	0.230257
116	0.156745
117	0.206599
118	0.175431
119	0.146995
120	0.151432
121	0.157745
122	0.172694
123	0.19695
124	0.165141
125	0.167659
126	0.186129
127	0.187865
128	0.14931
129	0.221677
130	0.150414
131	0.163682
132	0.222801
133	0.187707
134	0.155662
135	0.188244
136	0.189493
137	0.162253
138	0.160923
139	0.20902
140	0.149415
141	0.189972
142	0.134298
143	0.210566
144	0.107956
145	0.116018
146	0.154326
147	0.186706
148	0.191501
149	0.224221
150	0.116521
151	0.130981
152	0.138456
153	0.108671
154	0.169554
155	0.2253
156	0.165872
157	0.170587
158	0.127005
159	0.170783
