#
# In-degree Distribution. G(80776, 1730617). 10730 (0.1328) nodes with in-deg > avg deg (42.8), 3464 (0.0429) with >2*avg.deg (Tue Apr 29 01:21:44 2014)
#
# In-degree	Count
0	1691
1	15697
2	5212
3	4023
4	3624
5	3150
6	2756
7	2432
8	2124
9	1946
10	1853
11	1713
12	1611
13	1523
14	1344
15	1308
16	1164
17	1133
18	1032
19	1055
20	945
21	911
22	843
23	819
24	818
25	725
26	692
27	706
28	636
29	584
30	603
31	545
32	574
33	523
34	470
35	470
36	471
37	417
38	405
39	409
40	381
41	361
42	347
43	348
44	319
45	287
46	287
47	283
48	277
49	277
50	240
51	218
52	238
53	227
54	227
55	198
56	186
57	200
58	198
59	179
60	174
61	162
62	170
63	155
64	163
65	160
66	135
67	154
68	139
69	126
70	123
71	118
72	112
73	105
74	123
75	118
76	106
77	87
78	102
79	79
80	87
81	81
82	80
83	70
84	74
85	74
86	76
87	67
88	73
89	74
90	76
91	63
92	67
93	62
94	56
95	60
96	60
97	51
98	63
99	56
100	61
101	47
102	49
103	49
104	34
105	49
106	42
107	41
108	41
109	40
110	41
111	38
112	34
113	34
114	33
115	38
116	41
117	30
118	33
119	34
120	23
121	38
122	23
123	33
124	25
125	26
126	24
127	22
128	31
129	18
130	29
131	26
132	22
133	18
134	23
135	18
136	24
137	19
138	27
139	13
140	13
141	17
142	23
143	21
144	16
145	21
146	19
147	25
148	15
149	11
150	10
151	21
152	17
153	16
154	11
155	13
156	9
157	18
158	21
159	15
160	19
161	10
162	9
163	8
164	13
165	8
166	8
167	23
168	9
169	7
170	5
171	4
172	10
173	16
174	10
175	8
176	6
177	8
178	11
179	14
180	12
181	7
182	11
183	4
184	9
185	7
186	4
187	5
188	12
189	5
190	9
191	9
192	11
193	8
194	7
195	10
196	5
197	9
198	8
199	7
200	6
201	2
202	5
203	7
204	5
205	4
206	7
207	11
208	2
209	5
211	3
212	7
213	4
214	4
215	6
216	8
217	3
218	4
219	6
220	5
221	5
222	7
223	6
224	2
226	3
227	5
228	3
229	5
230	2
231	6
232	2
233	5
234	4
235	2
236	4
237	4
238	2
239	1
240	5
241	5
242	6
243	2
244	5
245	1
246	5
247	2
248	3
249	2
250	1
251	3
252	5
253	3
254	8
255	3
257	4
258	6
259	3
260	1
261	1
262	1
263	2
264	1
265	3
266	1
267	3
268	2
269	3
270	4
272	1
273	5
274	2
275	4
276	2
278	1
279	2
282	1
284	2
285	1
286	2
287	1
288	1
289	2
290	1
292	4
293	3
294	2
295	3
296	1
297	2
298	4
299	3
301	2
302	3
303	3
304	1
305	1
306	2
307	1
310	1
312	1
313	3
314	3
315	1
316	3
317	1
318	1
319	1
320	1
321	2
322	1
323	1
325	4
326	1
327	1
328	1
329	2
330	1
331	2
335	2
336	1
337	1
338	1
342	2
343	1
347	4
349	1
351	1
352	1
353	1
354	2
356	1
357	1
359	1
362	2
364	1
365	2
366	1
369	3
370	2
371	2
373	2
377	2
379	2
380	1
381	2
385	2
389	1
390	1
391	1
393	1
394	4
397	1
400	1
401	1
402	1
403	1
404	1
410	1
412	1
413	2
417	1
418	1
419	1
420	1
423	1
425	1
429	1
431	1
433	1
435	1
436	1
439	1
444	2
445	1
446	1
447	1
451	2
455	1
463	1
468	2
472	1
480	1
483	1
485	1
488	1
489	1
491	1
498	1
500	1
501	1
503	1
504	1
505	1
508	1
510	1
516	1
517	1
518	1
520	1
521	1
526	1
528	2
530	1
534	1
548	1
555	1
558	2
567	1
571	1
575	1
580	1
583	1
587	1
590	1
596	1
612	2
614	2
619	1
622	1
623	1
628	2
632	1
634	1
635	1
636	1
637	1
642	1
653	2
659	1
672	1
676	1
684	2
688	1
690	1
697	2
702	1
710	1
718	1
728	1
732	1
737	1
741	1
748	1
775	1
780	1
781	1
791	1
792	1
797	1
808	1
825	1
846	2
854	1
865	2
871	2
872	1
875	1
876	1
901	1
967	1
975	1
976	1
979	1
1002	1
1010	1
1014	1
1034	1
1049	1
1124	1
1127	1
1132	1
1133	1
1149	1
1176	1
1206	1
1207	1
1210	1
1214	1
1276	1
1329	2
1390	1
1448	1
1475	1
1487	1
1508	1
1842	1
1846	1
2039	1
2259	1
2317	1
2449	1
2846	1
3109	1
