#
# In-degree Distribution. G(79090, 1699181). 9091 (0.1149) nodes with in-deg > avg deg (43.0), 3725 (0.0471) with >2*avg.deg (Tue Apr 29 16:38:11 2014)
#
# In-degree	Count
0	13603
1	5522
2	5010
3	4292
4	3617
5	3235
6	2890
7	2539
8	2248
9	2047
10	1905
11	1671
12	1573
13	1455
14	1338
15	1269
16	1223
17	1060
18	1004
19	931
20	881
21	871
22	776
23	695
24	695
25	638
26	646
27	547
28	535
29	532
30	508
31	456
32	458
33	430
34	366
35	369
36	353
37	364
38	334
39	289
40	295
41	282
42	247
43	270
44	262
45	230
46	214
47	226
48	186
49	193
50	189
51	178
52	177
53	172
54	164
55	141
56	145
57	137
58	131
59	133
60	132
61	117
62	119
63	108
64	110
65	97
66	97
67	113
68	82
69	92
70	81
71	97
72	67
73	66
74	77
75	71
76	84
77	72
78	71
79	69
80	65
81	66
82	77
83	72
84	60
85	56
86	54
87	49
88	48
89	56
90	54
91	39
92	44
93	35
94	34
95	33
96	46
97	45
98	36
99	50
100	38
101	33
102	48
103	49
104	30
105	43
106	39
107	44
108	40
109	26
110	33
111	32
112	26
113	31
114	24
115	33
116	38
117	27
118	17
119	33
120	24
121	29
122	23
123	28
124	21
125	27
126	28
127	23
128	24
129	23
130	26
131	25
132	23
133	20
134	18
135	24
136	25
137	24
138	22
139	19
140	24
141	24
142	23
143	27
144	22
145	18
146	16
147	21
148	14
149	25
150	25
151	24
152	17
153	21
154	25
155	17
156	15
157	18
158	19
159	20
160	15
161	19
162	14
163	13
164	15
165	13
166	17
167	17
168	21
169	15
170	18
171	12
172	10
173	8
174	15
175	11
176	7
177	10
178	16
179	10
180	11
181	12
182	17
183	14
184	19
185	13
186	10
187	17
188	8
189	7
190	13
191	10
192	7
193	16
194	12
195	12
196	10
197	12
198	13
199	5
200	7
201	10
202	6
203	17
204	8
205	3
206	6
207	10
208	5
209	11
210	4
211	5
212	9
213	9
214	10
215	7
216	9
217	6
218	5
219	5
220	8
221	7
222	4
223	4
224	5
225	6
226	7
227	12
228	7
229	4
230	7
231	3
232	7
233	4
234	6
235	6
236	7
237	3
238	2
239	6
240	9
241	8
242	3
243	6
244	8
245	7
246	4
247	1
248	7
249	3
250	4
251	5
252	4
253	4
254	5
255	4
256	6
257	1
258	1
259	2
260	3
261	4
262	3
264	11
265	8
266	4
267	2
268	2
269	2
270	6
271	2
272	2
273	6
274	2
275	5
276	5
277	4
278	3
279	6
280	3
281	8
282	6
283	5
284	4
285	3
286	2
287	5
288	3
289	2
290	4
291	4
292	6
293	3
294	2
295	2
296	1
297	2
298	1
299	3
300	5
301	1
303	3
304	4
305	1
306	3
307	1
308	3
309	2
310	2
311	2
312	2
313	4
316	5
318	4
319	7
320	1
321	2
322	2
323	3
324	4
325	4
326	2
327	3
328	4
329	5
330	2
331	3
332	3
333	1
334	3
335	7
336	1
337	3
338	3
339	1
342	1
343	5
344	5
345	3
346	1
347	1
348	3
350	3
354	2
355	1
356	1
357	1
358	3
360	1
361	1
362	2
363	2
364	2
366	2
367	3
368	1
369	4
370	1
372	1
373	1
374	1
375	1
376	2
378	3
379	4
380	1
382	2
383	2
384	2
385	1
386	1
387	1
388	2
389	1
390	2
391	2
395	1
396	3
397	2
398	4
399	1
400	2
402	3
403	3
404	5
405	1
406	1
407	3
408	1
410	2
411	1
416	1
417	2
418	2
419	2
420	1
421	1
422	1
424	1
425	3
426	1
427	4
433	1
434	2
435	3
436	1
437	2
439	2
441	2
443	1
444	1
445	1
446	5
447	2
448	3
449	2
450	1
451	1
452	2
453	2
454	1
456	3
457	4
458	2
459	1
461	1
463	1
464	2
465	1
468	2
470	1
478	2
480	1
481	1
484	1
485	1
487	1
489	1
490	1
494	2
495	1
496	1
497	1
500	1
502	3
504	1
506	1
507	1
508	1
509	1
512	2
513	1
515	1
517	2
518	1
519	1
520	1
524	2
525	1
529	1
530	1
531	1
532	1
535	2
536	1
538	1
539	1
541	1
543	1
546	1
548	2
550	1
551	1
555	1
556	1
558	2
560	2
561	1
562	1
567	1
569	1
570	1
572	4
575	1
577	1
580	1
582	1
584	1
585	1
588	1
590	1
596	1
598	1
602	1
603	1
606	1
609	1
611	1
615	1
617	1
619	1
621	2
623	1
624	1
626	1
627	1
628	1
631	1
632	1
633	1
634	2
636	1
640	1
643	2
645	1
648	1
655	1
658	2
659	1
662	1
663	1
664	1
681	1
688	1
693	2
695	1
696	2
701	1
702	2
703	1
705	1
706	1
710	1
711	1
717	1
720	1
721	3
723	1
725	1
726	1
728	1
731	1
738	1
744	1
755	1
756	1
760	2
762	1
766	1
767	1
769	1
773	1
778	1
782	1
783	2
792	1
796	1
802	1
808	1
810	1
812	1
829	1
836	1
839	1
841	1
842	1
846	1
849	1
850	1
864	1
865	1
867	1
877	1
882	1
889	1
894	1
896	1
897	1
910	1
917	1
924	1
929	1
953	1
965	1
971	1
981	1
982	1
1003	1
1004	1
1015	1
1017	1
1026	1
1028	1
1041	1
1053	1
1054	1
1056	1
1063	1
1072	1
1075	1
1081	1
1108	1
1112	1
1136	1
1141	1
1147	1
1157	1
1202	1
1205	1
1211	1
1221	1
1260	1
1303	1
1346	1
1381	1
1394	1
1454	1
1495	1
1635	2
2169	1
