#
# In-degree Distribution. G(78786, 1634509). 8899 (0.1130) nodes with in-deg > avg deg (41.5), 3721 (0.0472) with >2*avg.deg (Wed Apr 30 02:16:17 2014)
#
# In-degree	Count
0	13354
1	5621
2	5125
3	4324
4	3749
5	3245
6	2892
7	2598
8	2370
9	2079
10	1797
11	1739
12	1646
13	1519
14	1377
15	1271
16	1150
17	1089
18	1014
19	887
20	919
21	852
22	716
23	720
24	653
25	676
26	607
27	549
28	538
29	497
30	495
31	470
32	416
33	377
34	373
35	369
36	334
37	320
38	298
39	286
40	281
41	295
42	256
43	254
44	242
45	207
46	218
47	212
48	202
49	195
50	190
51	164
52	165
53	159
54	130
55	163
56	145
57	143
58	127
59	124
60	120
61	113
62	101
63	105
64	105
65	89
66	104
67	98
68	101
69	88
70	84
71	62
72	69
73	74
74	73
75	75
76	68
77	61
78	67
79	50
80	64
81	62
82	49
83	63
84	54
85	62
86	39
87	51
88	46
89	44
90	48
91	53
92	59
93	50
94	46
95	41
96	33
97	38
98	40
99	38
100	32
101	42
102	39
103	38
104	26
105	37
106	39
107	32
108	34
109	41
110	41
111	31
112	20
113	27
114	33
115	30
116	29
117	35
118	30
119	37
120	23
121	15
122	30
123	28
124	27
125	17
126	18
127	27
128	30
129	19
130	19
131	23
132	22
133	36
134	17
135	20
136	17
137	17
138	27
139	22
140	21
141	29
142	16
143	14
144	15
145	22
146	22
147	16
148	21
149	15
150	23
151	17
152	14
153	13
154	14
155	12
156	13
157	14
158	17
159	26
160	16
161	14
162	17
163	13
164	18
165	12
166	10
167	21
168	10
169	14
170	13
171	18
172	17
173	10
174	12
175	11
176	17
177	10
178	17
179	9
180	11
181	13
182	16
183	8
184	12
185	4
186	11
187	7
188	17
189	8
190	8
191	11
192	12
193	17
194	10
195	9
196	8
197	13
198	8
199	9
200	12
201	7
202	8
203	7
204	11
205	9
206	6
207	8
208	7
209	4
210	2
211	6
212	9
213	6
214	2
215	7
216	8
217	5
218	8
219	4
220	6
221	7
222	5
223	9
224	4
225	7
226	11
227	2
228	5
229	7
230	4
231	4
232	10
233	8
234	6
235	6
236	3
237	3
238	2
239	8
240	9
241	9
242	5
243	2
244	9
245	2
246	4
247	7
248	6
249	3
250	5
251	2
252	3
253	7
254	2
255	2
256	2
257	1
258	7
259	6
260	6
261	4
262	3
263	2
264	5
265	3
266	2
268	3
269	3
270	4
271	6
272	3
273	4
274	4
275	4
276	5
277	3
278	6
279	2
280	5
281	5
282	1
283	4
284	3
285	1
286	1
287	1
288	3
289	3
290	2
291	1
292	1
293	6
294	7
295	2
296	4
297	5
298	3
299	2
300	2
301	2
302	3
303	1
304	3
307	2
308	3
309	2
310	1
311	4
313	3
314	6
315	1
316	2
317	1
318	3
319	1
320	3
321	2
322	3
323	2
324	5
326	4
327	3
328	1
330	4
332	3
333	1
334	1
335	1
336	2
337	1
338	3
339	2
340	2
341	1
343	3
347	1
348	3
349	1
350	1
351	2
352	3
353	2
354	3
355	1
356	2
357	1
358	4
359	4
361	1
362	1
363	1
365	1
366	2
367	2
368	2
369	2
370	2
371	4
373	3
374	2
375	1
376	1
377	1
379	3
380	4
381	1
382	1
383	1
385	1
386	2
387	3
388	3
389	1
391	3
392	1
393	1
395	3
396	1
397	2
399	1
400	1
401	1
403	2
404	2
405	1
406	3
407	1
408	1
410	2
411	2
412	5
413	4
414	2
415	1
416	2
417	2
418	1
419	1
422	1
423	2
426	1
428	1
429	1
430	2
431	1
432	1
433	1
434	1
435	3
436	2
437	3
440	1
443	3
444	1
445	2
446	1
447	1
448	1
449	1
451	1
454	1
456	2
458	2
459	3
462	1
465	1
467	2
468	1
471	3
472	1
473	1
474	1
475	1
476	1
477	3
479	1
480	1
483	4
485	2
486	1
488	1
489	1
491	2
494	4
495	1
497	1
498	1
500	1
503	2
509	2
513	1
514	1
515	1
516	1
517	1
519	2
521	1
522	1
524	1
525	2
527	1
528	2
535	1
536	1
538	1
539	1
542	1
544	1
545	1
546	2
548	2
549	1
551	2
554	1
555	1
556	1
558	1
559	1
560	1
562	1
563	1
566	1
568	1
571	1
585	2
586	1
589	1
591	1
592	1
594	1
599	3
601	1
605	3
607	1
609	2
610	1
613	1
617	1
618	1
622	1
627	2
632	2
633	1
635	1
637	2
650	2
652	1
653	1
657	1
662	1
668	1
669	1
671	1
676	1
679	1
680	1
686	1
695	3
696	1
697	3
702	2
704	1
706	1
707	2
709	1
711	1
719	2
721	1
724	2
733	1
747	1
754	1
755	2
756	1
761	1
767	1
773	1
776	1
778	1
781	1
791	1
795	1
797	1
801	1
806	1
811	1
815	1
816	1
817	1
821	1
822	1
824	1
834	1
840	1
849	1
859	1
865	2
867	1
871	1
880	1
922	1
932	1
949	2
954	1
955	1
965	1
974	1
980	1
982	1
995	1
1008	1
1012	1
1017	2
1018	1
1023	1
1032	1
1036	1
1060	1
1070	1
1083	1
1092	1
1094	1
1096	1
1123	1
1144	1
1154	1
1159	1
1203	1
1225	1
1284	1
1316	1
1330	1
1344	1
1345	1
1427	1
1448	1
1458	1
1588	1
1623	1
2203	1
