#
# In-degree Distribution. G(26795, 153635). 2835 (0.1058) nodes with in-deg > avg deg (11.5), 1247 (0.0465) with >2*avg.deg (Sun Apr 27 20:54:42 2014)
#
# In-degree	Count
1	10602
2	4607
3	2536
4	1730
5	1164
6	894
7	701
8	560
9	440
10	380
11	346
12	272
13	212
14	193
15	176
16	149
17	128
18	105
19	104
20	90
21	81
22	78
23	68
24	76
25	62
26	50
27	50
28	54
29	46
30	44
31	33
32	46
33	28
34	28
35	28
36	28
37	27
38	31
39	16
40	20
41	30
42	15
43	26
44	18
45	18
46	13
47	14
48	21
49	14
50	11
51	8
52	14
53	10
54	9
55	16
56	6
57	18
58	7
59	12
60	7
61	3
62	8
63	3
64	7
65	8
66	4
67	6
68	2
69	6
71	4
72	5
73	3
74	3
75	1
76	10
77	3
78	4
79	6
80	5
81	4
82	2
84	4
85	3
86	4
87	4
88	3
89	1
90	6
91	3
92	2
93	2
95	1
96	3
97	1
98	2
99	1
103	6
104	2
105	1
106	2
108	2
109	2
110	2
112	1
113	3
114	1
116	1
118	3
120	1
122	1
123	1
124	1
125	1
127	2
130	4
131	1
132	1
134	1
137	1
139	1
142	2
143	1
146	1
147	1
150	1
151	1
152	1
153	1
162	1
164	2
165	3
169	1
175	1
178	1
186	1
190	1
196	2
198	1
206	1
211	1
220	1
239	1
246	1
253	1
257	1
273	1
278	1
280	3
288	1
302	1
306	1
313	1
321	1
343	1
363	1
432	1
459	1
476	1
638	1
