#
# In-degree Distribution. G(77072, 981410). 8643 (0.1121) nodes with in-deg > avg deg (25.5), 3455 (0.0448) with >2*avg.deg (Sun Apr 27 20:50:32 2014)
#
# In-degree	Count
0	4106
1	13764
2	9559
3	6701
4	5107
5	3983
6	3451
7	2874
8	2386
9	2023
10	1796
11	1533
12	1486
13	1208
14	1049
15	981
16	958
17	829
18	768
19	672
20	656
21	553
22	566
23	515
24	469
25	436
26	444
27	369
28	338
29	322
30	314
31	296
32	243
33	270
34	211
35	233
36	212
37	201
38	175
39	190
40	173
41	172
42	135
43	143
44	144
45	110
46	121
47	107
48	93
49	97
50	75
51	96
52	90
53	88
54	89
55	77
56	79
57	81
58	71
59	73
60	60
61	78
62	65
63	61
64	60
65	55
66	51
67	49
68	37
69	56
70	42
71	48
72	43
73	46
74	50
75	40
76	35
77	37
78	37
79	29
80	32
81	29
82	30
83	40
84	25
85	42
86	41
87	22
88	17
89	24
90	22
91	24
92	26
93	25
94	22
95	29
96	19
97	17
98	20
99	15
100	19
101	18
102	19
103	19
104	19
105	16
106	11
107	17
108	19
109	15
110	8
111	10
112	13
113	8
114	19
115	11
116	12
117	23
118	14
119	10
120	9
121	13
122	12
123	15
124	11
125	13
126	6
127	14
128	6
129	19
130	13
131	11
132	10
133	7
134	12
135	9
136	10
137	6
138	10
139	10
140	9
141	4
142	9
143	10
144	12
145	11
146	3
147	8
148	7
149	7
150	6
151	12
152	11
153	6
154	6
155	9
156	7
157	10
158	6
159	10
160	6
161	4
162	2
163	8
164	4
165	4
166	5
167	5
168	5
169	9
170	5
172	7
173	5
174	5
175	6
176	4
177	6
178	5
179	5
180	2
181	9
182	2
183	6
184	3
185	5
186	5
187	5
188	5
189	2
190	6
191	6
192	3
193	2
194	5
195	2
196	3
197	3
198	2
199	1
200	1
201	3
202	5
203	1
204	2
205	4
206	7
207	4
208	2
209	1
210	4
211	3
212	4
214	4
215	3
217	5
218	5
219	3
220	3
221	6
222	3
223	1
224	3
225	1
226	1
227	2
228	2
229	3
230	1
231	2
232	5
233	2
234	2
235	2
236	1
237	2
238	3
240	2
242	2
244	1
245	1
246	3
247	3
248	4
250	2
251	3
252	1
253	2
254	1
255	4
256	2
257	1
258	1
260	2
261	2
262	1
264	2
265	2
267	3
268	1
270	1
271	1
272	4
274	1
275	2
276	5
279	3
280	2
281	1
282	1
283	1
284	1
287	1
291	1
292	1
294	2
295	3
296	1
297	1
298	1
301	2
302	1
304	1
305	1
306	3
307	5
308	2
309	1
310	1
311	2
312	1
314	1
315	1
316	1
318	1
323	3
324	2
327	1
329	3
331	1
333	1
334	1
336	1
338	1
339	1
340	1
342	1
344	1
345	1
349	1
350	1
352	2
353	1
354	1
360	3
361	2
362	1
365	1
369	2
371	1
372	1
375	1
378	1
380	2
387	1
388	1
392	1
393	1
398	2
399	1
400	2
402	1
403	2
406	1
407	1
411	1
413	1
414	1
415	1
427	1
431	1
434	1
439	1
440	1
445	1
447	1
448	1
452	1
454	1
456	1
457	1
461	1
462	1
466	1
470	1
474	1
476	1
485	1
487	1
488	1
489	1
493	2
506	1
507	1
510	2
512	1
514	1
524	1
534	1
535	1
542	1
558	1
567	1
569	1
586	1
588	1
589	1
606	2
615	1
617	1
624	1
630	1
633	2
643	2
645	1
654	1
659	1
665	1
666	1
674	1
679	1
680	1
686	1
688	1
690	1
703	1
705	1
708	1
729	1
736	1
740	1
772	1
810	1
822	1
832	1
840	1
856	1
862	1
891	1
950	1
967	1
1070	1
1189	1
1198	1
1282	1
1417	1
1643	1
1659	1
1756	1
1880	1
2039	1
