#
# In-degree Distribution. G(79227, 967895). 9304 (0.1174) nodes with in-deg > avg deg (24.4), 3168 (0.0400) with >2*avg.deg (Wed Apr 30 15:40:09 2014)
#
# In-degree	Count
0	6015
1	13502
2	6360
3	5385
4	4886
5	4088
6	3727
7	3271
8	2852
9	2498
10	2233
11	1917
12	1769
13	1540
14	1393
15	1274
16	1146
17	1027
18	957
19	839
20	766
21	737
22	595
23	590
24	556
25	517
26	472
27	449
28	434
29	334
30	341
31	330
32	300
33	273
34	268
35	256
36	239
37	194
38	222
39	184
40	182
41	176
42	154
43	125
44	151
45	140
46	121
47	141
48	133
49	114
50	97
51	101
52	95
53	95
54	81
55	75
56	86
57	80
58	77
59	64
60	75
61	65
62	57
63	62
64	59
65	40
66	46
67	43
68	47
69	39
70	43
71	26
72	38
73	45
74	38
75	32
76	29
77	44
78	27
79	33
80	34
81	28
82	35
83	27
84	27
85	25
86	19
87	18
88	21
89	22
90	17
91	20
92	19
93	18
94	24
95	18
96	14
97	18
98	16
99	9
100	19
101	18
102	14
103	11
104	15
105	19
106	23
107	12
108	17
109	12
110	15
111	14
112	13
113	7
114	5
115	11
116	4
117	10
118	11
119	12
120	12
121	9
122	8
123	13
124	10
125	11
126	16
127	8
128	15
129	8
130	7
131	8
132	3
133	8
134	4
135	12
136	8
137	6
138	4
139	5
140	5
141	6
142	2
143	9
144	3
145	5
146	4
147	5
148	11
149	6
150	4
151	7
152	5
153	5
154	4
155	4
157	5
158	6
159	1
160	3
161	4
162	2
163	2
164	5
165	6
166	5
167	6
168	5
169	1
170	1
171	2
172	5
173	3
174	4
175	8
176	4
177	5
178	9
179	4
180	2
182	2
183	5
184	4
185	7
186	5
188	2
189	7
190	3
191	4
192	3
193	4
194	2
196	1
197	6
198	2
200	4
201	1
202	2
204	2
205	1
206	1
207	1
208	1
209	4
210	1
211	1
212	3
213	2
214	1
215	2
216	1
217	3
219	1
220	2
221	1
222	2
223	3
224	1
226	2
227	3
229	1
230	1
231	2
234	1
235	4
236	1
237	2
238	1
242	2
246	2
250	2
253	1
255	1
256	2
258	1
260	1
263	2
265	1
266	2
267	1
269	2
273	1
276	1
278	2
280	2
281	1
284	1
285	1
286	1
287	2
290	1
294	1
295	1
298	1
299	1
301	1
302	1
303	3
304	1
305	3
307	1
313	1
315	1
322	1
329	2
333	1
338	1
339	1
340	1
341	1
349	1
352	1
355	1
357	1
358	1
364	2
366	1
370	1
372	1
373	1
376	1
382	1
384	1
385	1
388	1
389	1
391	1
394	1
396	1
398	1
400	1
402	1
403	1
405	1
406	1
407	2
410	1
412	2
421	2
424	2
431	1
437	1
447	1
454	1
458	1
473	1
479	1
481	1
483	1
490	1
493	1
496	1
503	1
516	1
520	1
524	1
532	1
533	1
546	1
557	1
559	1
561	1
572	1
588	1
598	1
599	1
604	1
612	1
615	1
616	1
619	1
628	1
640	1
643	1
645	1
650	1
656	1
702	1
705	1
733	1
740	1
751	1
773	1
778	1
817	1
840	1
880	1
919	1
929	1
958	1
1146	1
1183	1
1256	1
1563	1
1564	1
1673	1
1846	1
1951	1
