#
# In-degree Distribution. G(78437, 1618665). 8788 (0.1120) nodes with in-deg > avg deg (41.3), 3658 (0.0466) with >2*avg.deg (Tue Apr 29 23:48:30 2014)
#
# In-degree	Count
0	13019
1	5768
2	5063
3	4377
4	3743
5	3304
6	2864
7	2677
8	2294
9	2053
10	1922
11	1724
12	1614
13	1454
14	1328
15	1240
16	1182
17	1088
18	995
19	967
20	895
21	798
22	698
23	739
24	721
25	662
26	570
27	566
28	527
29	490
30	463
31	466
32	397
33	415
34	362
35	322
36	343
37	339
38	328
39	333
40	264
41	275
42	262
43	227
44	204
45	217
46	214
47	213
48	189
49	191
50	180
51	202
52	162
53	178
54	145
55	134
56	144
57	138
58	120
59	113
60	110
61	138
62	108
63	95
64	99
65	95
66	89
67	104
68	78
69	72
70	88
71	75
72	78
73	66
74	90
75	62
76	62
77	63
78	69
79	76
80	65
81	59
82	56
83	43
84	50
85	55
86	56
87	47
88	48
89	41
90	49
91	60
92	42
93	51
94	37
95	37
96	33
97	35
98	28
99	43
100	43
101	30
102	33
103	40
104	35
105	48
106	30
107	31
108	32
109	25
110	32
111	35
112	36
113	36
114	33
115	18
116	26
117	28
118	25
119	26
120	25
121	20
122	30
123	34
124	34
125	23
126	32
127	21
128	33
129	23
130	23
131	23
132	25
133	24
134	30
135	26
136	26
137	27
138	22
139	11
140	26
141	23
142	16
143	21
144	24
145	19
146	21
147	16
148	16
149	20
150	22
151	15
152	16
153	15
154	15
155	15
156	12
157	11
158	17
159	11
160	18
161	18
162	14
163	13
164	12
165	12
166	9
167	13
168	10
169	14
170	16
171	12
172	14
173	10
174	11
175	9
176	16
177	9
178	15
179	7
180	11
181	9
182	17
183	15
184	15
185	15
186	11
187	10
188	15
189	12
190	9
191	11
192	4
193	6
194	12
195	9
196	7
197	12
198	4
199	5
200	7
201	11
202	6
203	14
204	8
205	11
206	10
207	6
208	9
209	9
210	7
211	6
212	8
213	2
214	7
215	9
216	5
217	10
218	10
219	3
220	3
221	7
222	8
223	2
224	7
225	5
226	6
227	6
228	5
229	9
230	4
231	9
232	5
233	5
234	4
235	5
236	2
237	9
238	1
239	2
240	4
241	3
242	6
243	2
244	1
245	2
246	7
247	5
248	3
249	4
250	4
251	5
252	5
253	2
254	6
255	3
256	7
257	8
258	5
259	4
260	7
261	6
262	7
263	2
264	5
265	7
266	1
267	2
268	4
269	3
270	2
271	4
272	4
273	3
274	3
275	4
276	2
277	7
279	3
280	3
281	4
282	5
284	2
285	5
287	2
288	1
289	3
290	2
291	1
292	1
293	3
294	3
295	1
296	3
297	2
298	1
299	1
300	1
301	2
302	2
303	3
304	1
305	6
306	1
307	4
308	3
310	2
311	2
312	4
313	1
314	3
315	1
316	4
317	3
318	7
319	3
320	2
322	3
323	4
324	2
326	2
327	1
328	4
329	2
332	7
333	2
334	1
335	3
336	2
337	1
338	1
339	5
340	2
341	2
344	1
345	1
346	3
347	3
348	5
351	4
352	4
353	1
354	2
356	1
357	2
358	2
359	4
360	3
361	1
362	2
363	2
364	1
365	1
366	5
367	5
369	3
370	1
371	2
372	1
374	2
376	3
377	1
379	2
380	1
382	4
385	2
387	1
388	1
389	2
392	1
393	1
395	1
396	2
397	2
398	2
400	1
401	2
402	2
404	1
405	2
406	3
407	1
408	5
411	2
412	1
414	1
415	2
416	1
418	2
419	1
420	2
421	3
422	2
426	1
427	2
428	3
429	2
430	2
432	3
433	3
436	2
437	2
439	1
440	1
443	1
444	2
446	2
447	1
448	1
449	1
451	2
452	1
456	1
457	2
461	2
463	1
466	1
467	2
468	1
469	1
470	1
472	1
473	1
479	1
480	1
481	1
482	2
484	1
486	2
487	2
489	1
493	1
494	1
496	2
497	2
498	1
500	1
501	1
502	3
503	2
505	1
511	1
512	1
515	1
516	1
517	2
518	1
520	1
523	1
525	2
528	1
530	1
533	1
534	3
535	3
537	1
538	2
540	3
542	2
546	1
547	1
549	1
550	1
551	1
553	1
558	2
562	1
565	1
569	1
571	1
574	1
575	1
577	1
580	1
583	1
584	1
585	1
586	1
588	1
594	1
600	2
604	4
607	1
608	2
610	1
620	1
622	2
624	1
625	1
633	2
637	1
639	2
640	1
645	1
650	2
651	1
652	1
666	1
672	1
674	2
676	2
679	1
681	1
684	1
691	1
693	2
698	1
699	1
700	2
702	2
703	1
708	2
709	1
713	1
715	1
721	1
724	1
728	1
732	1
733	2
741	1
742	1
748	1
759	2
760	1
761	1
767	1
768	1
784	1
785	1
803	1
812	2
821	1
826	1
830	1
831	1
832	1
841	1
851	2
854	1
856	1
862	1
870	1
872	1
881	1
902	1
905	1
907	2
917	1
946	1
967	1
968	1
979	1
989	1
996	1
1006	1
1008	1
1011	1
1027	1
1032	1
1036	1
1039	1
1043	1
1046	1
1061	1
1068	1
1074	1
1077	1
1079	1
1089	1
1105	1
1116	1
1135	1
1141	1
1177	1
1198	1
1236	1
1269	1
1297	1
1381	1
1383	1
1424	1
1472	1
1576	1
1646	1
2059	1
