#
# In-degree Distribution. G(80583, 1730617). 10494 (0.1302) nodes with in-deg > avg deg (43.0), 3758 (0.0466) with >2*avg.deg (Sun May  4 20:26:08 2014)
#
# In-degree	Count
0	3072
1	15687
2	3376
3	3950
4	3658
5	3280
6	2975
7	2647
8	2374
9	2159
10	1914
11	1772
12	1628
13	1533
14	1431
15	1275
16	1174
17	1171
18	1032
19	1045
20	971
21	915
22	891
23	800
24	766
25	727
26	636
27	640
28	653
29	632
30	534
31	482
32	476
33	513
34	420
35	448
36	411
37	376
38	374
39	397
40	295
41	281
42	298
43	282
44	291
45	281
46	299
47	285
48	242
49	245
50	241
51	232
52	187
53	188
54	205
55	213
56	190
57	157
58	163
59	158
60	158
61	140
62	140
63	171
64	144
65	124
66	124
67	144
68	117
69	156
70	117
71	122
72	108
73	95
74	86
75	108
76	104
77	95
78	77
79	94
80	63
81	83
82	79
83	69
84	82
85	77
86	73
87	55
88	63
89	78
90	61
91	85
92	57
93	67
94	60
95	58
96	50
97	63
98	61
99	55
100	60
101	41
102	46
103	44
104	52
105	29
106	41
107	43
108	52
109	54
110	41
111	36
112	44
113	32
114	40
115	40
116	38
117	32
118	28
119	26
120	37
121	37
122	42
123	28
124	31
125	23
126	25
127	31
128	42
129	26
130	32
131	15
132	19
133	31
134	16
135	24
136	26
137	14
138	24
139	27
140	23
141	20
142	26
143	26
144	25
145	16
146	13
147	25
148	23
149	21
150	21
151	22
152	15
153	17
154	21
155	19
156	18
157	22
158	10
159	20
160	11
161	14
162	10
163	14
164	5
165	11
166	14
167	9
168	14
169	16
170	8
171	10
172	14
173	11
174	12
175	13
176	13
177	14
178	10
179	9
180	8
181	10
182	13
183	6
184	11
185	16
186	7
187	12
188	12
189	10
190	6
191	11
192	5
193	9
194	6
195	12
196	10
197	7
198	10
199	9
200	11
201	8
202	6
203	5
204	4
205	12
206	5
207	7
208	13
209	4
210	9
211	8
212	2
213	6
214	5
215	7
216	11
217	3
218	4
219	7
220	5
221	10
222	4
223	7
224	4
225	3
226	6
227	3
228	3
229	5
230	3
231	4
232	7
233	5
234	1
235	4
236	2
237	4
238	4
239	5
240	4
241	3
242	8
243	3
244	6
245	3
246	2
247	4
248	2
249	1
250	3
251	4
252	6
253	2
254	4
255	4
256	3
257	3
258	3
259	5
260	5
261	3
262	2
263	3
264	6
265	7
266	2
267	3
268	6
270	3
271	4
272	2
273	5
274	4
275	1
276	3
277	1
278	5
279	4
280	3
281	2
282	5
283	4
284	3
285	2
286	1
287	4
288	3
290	3
291	1
292	6
294	1
295	1
296	2
297	1
298	2
299	1
301	2
303	1
304	1
305	1
306	3
307	2
308	1
309	2
310	3
311	6
312	3
313	1
314	2
315	2
316	1
317	1
318	2
321	1
322	1
323	1
324	4
325	2
327	1
328	2
330	2
332	1
333	2
336	2
337	1
338	1
339	3
340	1
341	1
344	3
345	3
346	1
347	1
349	2
350	1
352	1
354	2
355	3
357	2
362	2
364	3
365	1
366	1
367	1
370	1
372	1
374	1
375	1
376	1
377	1
379	2
380	1
381	2
382	1
385	1
386	2
388	1
391	2
394	1
395	2
396	1
397	1
398	2
402	1
404	1
405	1
410	1
414	1
415	1
416	1
419	1
420	1
423	1
424	1
425	1
427	1
428	1
429	1
431	1
434	1
440	2
442	2
445	1
446	1
448	1
449	1
451	2
454	1
458	1
460	2
467	1
471	1
474	1
476	1
481	2
488	1
490	1
491	1
493	1
495	1
496	1
499	2
503	1
508	1
513	1
514	1
519	3
524	1
527	1
534	2
541	2
545	1
551	2
552	1
554	1
556	1
564	1
570	1
575	1
584	1
586	1
587	1
590	1
596	1
597	1
598	1
600	1
602	1
605	1
606	3
611	1
621	1
627	1
638	1
641	2
643	1
653	1
657	1
669	1
673	1
686	1
690	1
693	1
699	1
701	1
705	2
734	1
736	1
740	1
743	1
746	1
765	2
768	1
779	1
785	1
790	1
798	1
816	1
828	2
859	1
870	1
881	1
884	2
887	1
907	1
912	1
920	1
924	1
929	1
939	1
942	1
968	1
1017	1
1043	1
1112	1
1136	1
1139	1
1151	1
1157	1
1172	1
1185	1
1195	1
1202	1
1270	1
1284	1
1299	1
1308	1
1329	1
1401	1
1458	1
1697	1
1776	1
1805	1
2006	1
2193	1
2293	1
2515	1
2779	1
