#
# In-degree Distribution. G(80374, 1730617). 10249 (0.1275) nodes with in-deg > avg deg (43.1), 4002 (0.0498) with >2*avg.deg (Mon May  5 02:51:35 2014)
#
# In-degree	Count
0	4144
1	15486
2	3196
3	3859
4	3628
5	3329
6	3136
7	2631
8	2350
9	2173
10	1973
11	1822
12	1664
13	1559
14	1434
15	1261
16	1194
17	1099
18	991
19	972
20	1003
21	827
22	747
23	750
24	736
25	658
26	624
27	602
28	564
29	538
30	476
31	471
32	455
33	428
34	436
35	367
36	349
37	361
38	337
39	338
40	302
41	287
42	288
43	280
44	273
45	255
46	238
47	254
48	231
49	219
50	200
51	213
52	236
53	188
54	172
55	169
56	165
57	165
58	155
59	150
60	152
61	136
62	127
63	131
64	126
65	143
66	132
67	144
68	125
69	123
70	118
71	95
72	106
73	98
74	96
75	111
76	113
77	101
78	95
79	104
80	103
81	91
82	70
83	60
84	82
85	100
86	82
87	78
88	73
89	81
90	64
91	63
92	67
93	62
94	57
95	53
96	60
97	71
98	59
99	56
100	59
101	65
102	55
103	56
104	43
105	47
106	39
107	41
108	44
109	51
110	45
111	36
112	37
113	39
114	47
115	49
116	48
117	37
118	40
119	53
120	38
121	32
122	25
123	31
124	31
125	35
126	35
127	37
128	23
129	26
130	32
131	35
132	30
133	20
134	25
135	20
136	33
137	28
138	26
139	30
140	21
141	19
142	18
143	19
144	25
145	23
146	12
147	18
148	30
149	16
150	17
151	32
152	16
153	19
154	18
155	20
156	23
157	14
158	22
159	14
160	18
161	15
162	17
163	18
164	18
165	20
166	12
167	18
168	13
169	12
170	12
171	14
172	14
173	14
174	9
175	11
176	14
177	22
178	7
179	11
180	10
181	16
182	13
183	18
184	7
185	14
186	18
187	10
188	14
189	8
190	14
191	7
192	3
193	11
194	9
195	7
196	13
197	7
198	11
199	9
200	12
201	9
202	13
203	9
204	3
205	7
206	9
207	12
208	9
209	3
210	6
211	6
212	6
213	8
214	2
215	4
216	5
217	11
218	1
219	6
220	9
221	8
222	6
223	3
224	5
225	4
226	3
227	6
228	1
229	8
230	4
231	8
232	6
233	3
234	10
235	6
236	6
237	8
238	5
239	5
240	3
241	3
242	4
243	5
244	5
245	6
246	7
247	4
248	3
249	5
250	8
251	8
252	1
253	6
254	5
255	2
256	3
257	4
258	5
259	3
260	3
261	1
262	7
263	3
265	2
266	5
267	2
268	2
269	3
270	2
271	2
272	6
273	2
274	3
275	2
276	2
277	1
278	2
279	5
280	6
281	6
282	1
283	3
284	3
285	4
286	4
287	2
288	5
289	2
290	3
291	2
292	3
293	3
295	3
296	1
297	1
298	1
300	3
301	3
302	1
303	1
304	1
305	4
306	1
307	2
308	3
309	3
310	2
311	2
312	4
313	4
314	2
315	1
316	3
317	1
318	2
319	1
320	2
321	1
323	1
324	1
325	1
327	3
329	1
330	2
332	2
333	1
334	1
335	2
336	1
337	1
340	2
342	2
343	1
345	2
349	2
350	2
351	1
352	2
353	1
354	2
355	1
358	3
360	1
364	3
366	1
369	3
372	1
373	1
374	3
375	1
377	1
380	2
381	1
382	1
384	1
386	1
387	2
388	2
390	1
392	3
393	1
395	1
396	3
403	2
404	1
405	1
406	1
407	1
410	2
412	2
413	1
414	2
415	1
416	2
418	1
419	1
420	1
421	2
422	1
426	2
427	1
429	2
430	2
434	1
435	1
437	2
449	1
450	1
451	1
452	1
453	1
459	1
460	1
463	1
464	1
465	1
466	1
468	1
469	2
470	3
476	1
488	1
489	1
493	1
494	1
497	1
498	1
504	1
505	1
508	1
509	1
510	1
513	1
517	1
519	2
520	1
525	1
528	1
532	1
533	1
536	1
538	1
542	1
545	1
549	1
550	1
553	1
563	1
566	1
568	1
572	1
588	1
591	1
594	2
601	1
611	2
614	1
618	1
628	1
635	1
636	1
637	1
640	1
646	1
649	1
651	1
656	1
671	3
691	1
693	1
698	1
704	1
715	1
727	1
728	1
730	1
731	1
735	1
736	1
738	1
756	1
763	1
766	1
768	1
772	1
813	1
828	1
831	1
840	2
851	1
856	1
866	1
871	1
873	1
876	1
897	1
901	1
912	1
927	1
963	1
994	1
1002	1
1004	1
1005	1
1009	1
1016	1
1055	1
1060	1
1069	1
1092	1
1201	1
1204	1
1205	1
1273	1
1359	1
1601	1
1703	1
1777	1
1857	1
2145	1
2149	1
2410	1
2539	1
