#
# In-degree Distribution. G(80307, 1730617). 9193 (0.1145) nodes with in-deg > avg deg (43.1), 3418 (0.0426) with >2*avg.deg (Mon May  5 02:51:29 2014)
#
# In-degree	Count
0	4552
1	18657
2	1868
3	2591
4	2667
5	2624
6	2502
7	2364
8	2271
9	2100
10	1969
11	1888
12	1812
13	1602
14	1573
15	1454
16	1379
17	1211
18	1210
19	1118
20	998
21	960
22	899
23	854
24	807
25	795
26	742
27	694
28	648
29	566
30	541
31	555
32	513
33	475
34	477
35	426
36	439
37	378
38	348
39	367
40	331
41	313
42	284
43	292
44	311
45	272
46	280
47	253
48	243
49	223
50	222
51	206
52	181
53	196
54	204
55	163
56	157
57	145
58	173
59	157
60	146
61	141
62	129
63	114
64	131
65	106
66	101
67	109
68	95
69	99
70	91
71	97
72	94
73	83
74	93
75	78
76	82
77	71
78	57
79	60
80	65
81	62
82	63
83	64
84	57
85	54
86	47
87	54
88	50
89	58
90	51
91	41
92	45
93	49
94	43
95	37
96	43
97	36
98	43
99	38
100	36
101	44
102	46
103	47
104	40
105	31
106	30
107	38
108	34
109	26
110	33
111	34
112	27
113	26
114	29
115	32
116	38
117	31
118	25
119	27
120	33
121	27
122	26
123	24
124	17
125	25
126	22
127	25
128	28
129	17
130	24
131	22
132	20
133	20
134	26
135	18
136	25
137	15
138	23
139	23
140	21
141	24
142	21
143	13
144	23
145	15
146	17
147	13
148	15
149	11
150	23
151	16
152	15
153	14
154	18
155	13
156	10
157	13
158	13
159	24
160	11
161	15
162	17
163	17
164	16
165	15
166	18
167	15
168	14
169	12
170	15
171	12
172	9
173	11
174	14
175	15
176	8
177	13
178	16
179	7
180	7
181	7
182	6
183	11
184	9
185	11
186	13
187	8
188	14
189	13
190	13
191	10
192	10
193	9
194	13
195	5
196	10
197	9
198	11
199	8
200	12
201	11
202	8
203	7
204	5
205	7
206	4
207	6
208	7
209	3
210	6
211	8
212	8
213	8
214	9
215	3
216	7
217	5
218	7
219	8
220	4
221	9
222	5
223	5
224	8
225	10
226	5
227	3
228	6
229	5
230	7
231	4
232	9
233	5
234	7
235	7
236	12
237	5
238	7
239	3
240	6
241	4
242	4
243	3
244	5
245	5
246	4
247	6
248	3
249	6
250	2
251	4
252	1
253	2
254	5
255	5
256	3
257	5
258	3
259	5
260	3
261	3
262	2
263	2
264	2
265	4
266	3
267	7
268	5
269	6
270	4
271	2
272	1
273	1
274	1
275	3
276	2
277	5
278	4
279	2
280	2
281	5
283	4
284	2
285	2
286	2
287	4
288	3
289	2
290	4
291	4
292	1
293	2
294	2
295	3
296	5
297	2
298	4
299	3
300	3
301	3
303	2
304	1
305	4
306	2
309	1
310	1
311	5
312	2
314	5
315	2
316	3
317	1
318	4
319	2
320	2
321	2
322	2
323	3
324	1
325	3
326	2
327	2
328	2
329	2
330	1
331	3
332	1
333	3
334	2
335	3
336	3
337	2
339	1
341	2
342	3
344	4
345	2
346	2
347	2
348	1
349	1
350	3
351	1
352	2
356	3
357	1
358	1
360	2
361	1
362	1
363	1
365	2
367	1
368	1
369	3
370	2
371	3
372	1
373	2
374	1
375	1
376	3
377	3
378	1
379	1
380	1
381	2
382	2
383	2
384	5
386	1
387	2
389	1
390	1
391	1
392	2
394	1
395	1
396	1
397	1
398	1
399	1
401	2
402	1
403	3
404	1
405	5
406	1
407	1
408	1
409	3
411	1
412	2
414	2
416	2
417	1
418	2
423	1
424	2
425	1
426	1
427	3
428	1
430	1
432	2
433	2
434	1
436	1
437	3
438	1
440	2
442	1
445	2
446	1
448	1
449	2
450	2
453	1
454	1
455	1
456	2
458	1
461	2
462	1
464	1
466	1
469	2
470	1
472	1
475	1
477	2
481	2
483	1
487	1
489	1
490	1
494	3
495	1
496	2
498	1
499	1
503	1
505	1
509	1
511	1
512	2
514	2
516	2
518	1
519	3
521	1
523	1
524	2
529	3
531	1
532	1
533	2
536	2
537	1
543	2
549	1
550	1
551	1
553	1
554	1
557	1
558	1
560	1
562	1
563	2
565	1
566	1
567	1
568	1
571	3
572	1
574	1
577	1
578	2
579	1
580	1
582	1
585	2
591	2
597	2
599	1
602	1
604	1
605	1
607	1
612	1
618	1
619	1
624	2
625	1
626	1
633	1
637	1
638	1
640	2
642	1
643	2
650	1
653	1
656	2
660	3
662	1
664	1
666	1
668	1
670	1
673	2
674	1
677	2
682	1
684	1
687	1
691	1
695	1
697	1
698	1
703	1
709	1
711	1
728	1
737	1
742	1
744	1
747	1
750	1
751	1
753	2
754	1
757	1
760	1
768	1
771	1
789	1
790	1
798	1
800	1
805	1
808	1
811	1
815	1
825	1
831	1
832	1
833	1
844	1
847	1
856	1
857	1
865	1
884	1
889	1
901	1
911	1
926	1
934	1
939	1
965	1
967	1
978	1
985	1
995	1
1014	1
1022	1
1028	1
1035	1
1036	1
1058	1
1128	1
1135	2
1165	1
1173	1
1191	1
1194	1
1196	1
1212	1
1214	1
1245	1
1323	1
1343	1
1425	1
1452	1
1523	1
1616	1
1707	1
2036	1
