#
# In-degree Distribution. G(78665, 2362970). 8566 (0.1089) nodes with in-deg > avg deg (60.1), 3625 (0.0461) with >2*avg.deg (Sun Apr 27 15:07:28 2014)
#
# In-degree	Count
0	11519
1	4501
2	4166
3	3693
4	3238
5	2860
6	2603
7	2347
8	2157
9	1932
10	1860
11	1645
12	1611
13	1419
14	1331
15	1251
16	1186
17	1121
18	1067
19	1063
20	983
21	920
22	845
23	756
24	764
25	672
26	689
27	684
28	596
29	561
30	547
31	575
32	513
33	520
34	479
35	432
36	436
37	378
38	400
39	396
40	359
41	327
42	348
43	313
44	325
45	300
46	289
47	273
48	264
49	263
50	242
51	269
52	216
53	199
54	213
55	198
56	236
57	218
58	193
59	176
60	162
61	163
62	177
63	151
64	142
65	149
66	156
67	151
68	123
69	139
70	138
71	120
72	132
73	103
74	98
75	132
76	122
77	91
78	84
79	101
80	96
81	99
82	97
83	88
84	57
85	75
86	106
87	72
88	84
89	73
90	59
91	66
92	66
93	66
94	55
95	60
96	75
97	71
98	59
99	75
100	48
101	45
102	61
103	58
104	68
105	33
106	61
107	54
108	46
109	52
110	53
111	45
112	34
113	39
114	35
115	39
116	40
117	43
118	37
119	46
120	33
121	27
122	38
123	29
124	27
125	31
126	39
127	36
128	30
129	29
130	42
131	31
132	34
133	32
134	25
135	33
136	29
137	30
138	31
139	21
140	25
141	18
142	28
143	36
144	22
145	26
146	23
147	19
148	18
149	24
150	36
151	25
152	26
153	24
154	23
155	17
156	16
157	25
158	19
159	27
160	29
161	13
162	20
163	22
164	17
165	20
166	24
167	22
168	19
169	22
170	18
171	18
172	15
173	18
174	20
175	27
176	22
177	25
178	10
179	16
180	21
181	23
182	20
183	20
184	18
185	18
186	14
187	16
188	21
189	13
190	17
191	13
192	13
193	18
194	17
195	15
196	13
197	20
198	13
199	13
200	11
201	16
202	16
203	16
204	13
205	11
206	16
207	16
208	11
209	14
210	18
211	7
212	14
213	20
214	12
215	14
216	9
217	6
218	9
219	10
220	11
221	20
222	8
223	16
224	8
225	13
226	14
227	10
228	6
229	11
230	17
231	17
232	15
233	7
234	11
235	15
236	6
237	9
238	5
239	12
240	9
241	7
242	10
243	14
244	14
245	3
246	3
247	10
248	10
249	10
250	7
251	11
252	8
253	10
254	10
255	10
256	9
257	10
258	9
259	8
260	8
261	5
262	4
263	10
264	9
265	5
266	8
267	5
268	3
269	10
270	7
271	6
272	6
273	5
274	10
275	5
276	6
277	12
278	7
279	6
280	2
281	11
282	8
283	6
284	9
285	7
286	4
287	5
288	2
289	8
290	5
291	5
292	5
293	7
294	6
295	5
296	6
297	6
298	9
299	8
300	4
301	4
302	3
303	3
304	4
305	7
306	2
307	5
308	6
309	1
310	9
311	2
312	6
313	7
314	4
315	4
316	2
317	5
318	4
319	4
320	4
321	8
322	4
323	5
324	5
325	2
326	4
327	2
328	4
329	5
330	1
331	3
332	6
333	3
334	1
335	3
336	3
337	4
338	1
339	6
340	3
341	2
342	7
343	5
344	1
345	3
346	4
347	3
348	4
349	5
350	2
351	4
353	3
354	1
356	5
357	3
358	2
359	3
360	2
361	2
362	1
363	4
364	1
365	1
366	4
367	5
368	6
369	3
370	1
371	2
372	1
373	2
374	4
375	1
376	1
377	1
378	3
379	1
380	2
381	4
382	1
383	4
385	4
386	3
387	4
388	3
389	4
390	1
391	8
392	1
393	2
394	3
395	6
397	7
398	3
399	2
401	5
402	1
403	4
404	4
405	2
406	3
408	2
409	2
411	2
412	1
413	4
414	3
415	1
416	1
417	2
418	4
421	3
422	1
423	1
424	1
425	2
426	1
427	1
428	1
429	3
432	2
433	1
434	4
435	1
436	4
439	2
440	2
441	1
442	4
443	1
444	1
445	2
446	2
447	3
449	1
450	1
451	2
452	7
454	2
455	3
456	2
457	1
458	1
459	2
460	1
461	3
462	2
463	1
