#
# In-degree Distribution. G(80155, 2145624). 9223 (0.1151) nodes with in-deg > avg deg (53.5), 3771 (0.0470) with >2*avg.deg (Sun May  4 21:56:48 2014)
#
# In-degree	Count
0	7585
1	15923
2	1025
3	1939
4	2472
5	2535
6	2588
7	2514
8	2302
9	1979
10	1868
11	1775
12	1643
13	1497
14	1393
15	1351
16	1271
17	1138
18	1069
19	1052
20	973
21	927
22	832
23	835
24	798
25	719
26	675
27	612
28	595
29	588
30	541
31	524
32	534
33	491
34	446
35	428
36	422
37	406
38	410
39	359
40	335
41	365
42	313
43	329
44	322
45	296
46	285
47	252
48	261
49	245
50	256
51	220
52	206
53	213
54	188
55	194
56	169
57	177
58	178
59	175
60	163
61	176
62	154
63	150
64	148
65	144
66	133
67	126
68	129
69	109
70	121
71	122
72	130
73	120
74	107
75	105
76	101
77	85
78	83
79	108
80	94
81	115
82	91
83	88
84	87
85	77
86	70
87	63
88	56
89	73
90	66
91	71
92	68
93	84
94	64
95	61
96	52
97	68
98	51
99	51
100	61
101	43
102	58
103	48
104	54
105	47
106	50
107	46
108	43
109	46
110	56
111	46
112	41
113	32
114	45
115	49
116	37
117	47
118	40
119	39
120	39
121	26
122	32
123	32
124	23
125	30
126	35
127	35
128	33
129	24
130	28
131	31
132	33
133	36
134	28
135	37
136	20
137	30
138	30
139	31
140	27
141	30
142	29
143	29
144	26
145	31
146	20
147	21
148	27
149	29
150	19
151	18
152	31
153	21
154	22
155	20
156	22
157	20
158	14
159	21
160	18
161	26
162	17
163	15
164	21
165	22
166	19
167	23
168	16
169	27
170	18
171	26
172	16
173	21
174	22
175	15
176	16
177	14
178	10
179	14
180	16
181	16
182	15
183	18
184	10
185	14
186	15
187	13
188	11
189	15
190	11
191	19
192	12
193	13
194	15
195	16
196	16
197	13
198	12
199	16
200	16
201	17
202	15
203	13
204	7
205	12
206	9
207	11
208	11
209	10
210	16
211	11
212	12
213	11
214	12
215	12
216	12
217	10
218	18
219	9
220	12
221	8
222	7
223	7
224	11
225	13
226	14
227	9
228	15
229	13
230	16
231	9
232	11
233	5
234	12
235	12
236	7
237	7
238	7
239	11
240	9
241	13
242	7
243	9
244	5
245	4
246	5
247	13
248	11
249	6
250	5
251	9
252	6
253	6
254	6
255	9
256	3
257	5
258	9
259	14
260	5
261	7
262	6
263	8
264	10
265	5
266	4
267	1
268	6
269	8
270	4
271	10
272	8
273	7
274	8
275	6
276	4
277	4
279	2
280	6
281	3
282	8
283	5
284	1
285	2
286	3
287	6
288	6
289	5
290	3
291	4
292	7
293	6
294	8
295	11
