#
# In-degree Distribution. G(14845, 115974). 1293 (0.0871) nodes with in-deg > avg deg (15.6), 700 (0.0472) with >2*avg.deg (Sun Apr 27 20:51:39 2014)
#
# In-degree	Count
1	6570
2	2380
3	1320
4	816
5	559
6	422
7	303
8	263
9	201
10	183
11	136
12	117
13	113
14	92
15	77
16	72
17	55
18	46
19	48
20	43
21	45
22	46
23	37
24	34
25	29
26	20
27	26
28	21
29	24
30	19
31	28
32	12
33	22
34	21
35	15
36	15
37	11
38	12
39	15
40	14
41	21
42	16
43	14
44	13
45	9
46	18
47	16
48	11
49	13
50	5
51	13
52	5
53	12
54	10
55	7
56	8
57	9
58	2
59	5
60	13
61	5
62	11
63	4
64	6
65	3
66	3
67	2
68	5
69	9
70	3
71	7
72	3
73	6
74	5
75	3
76	7
77	5
78	5
79	5
80	2
81	3
82	5
83	2
84	3
85	4
86	3
87	4
88	3
89	6
90	4
91	6
92	3
93	3
94	4
95	1
96	5
97	4
98	1
99	1
100	6
101	1
102	2
103	4
105	4
106	3
107	4
108	1
109	3
110	1
111	1
112	1
113	1
114	2
115	2
116	2
117	2
118	1
119	1
120	1
122	1
123	4
124	1
125	2
126	2
127	3
129	2
131	3
133	1
134	4
135	2
136	2
137	1
139	1
140	2
141	1
142	1
145	4
146	2
147	1
148	1
149	1
150	2
151	1
152	1
154	1
155	2
156	2
157	1
158	1
159	1
161	2
163	1
164	1
166	1
167	1
168	1
170	3
172	1
176	1
177	1
179	1
180	1
181	1
182	2
184	1
185	1
188	4
192	1
200	1
204	1
206	1
207	1
208	1
209	1
210	1
211	1
212	1
214	1
215	1
216	2
218	2
219	1
220	1
221	1
222	1
223	1
224	1
228	1
230	1
231	2
233	1
236	1
240	1
242	1
244	1
246	1
249	1
261	1
262	1
265	1
281	1
283	1
294	1
311	1
331	1
333	1
335	1
338	1
347	1
392	1
402	1
404	1
440	1
454	1
458	1
460	1
490	1
526	1
1117	1
1131	1
1152	1
1348	1
