#
# In-degree Distribution. G(70931, 531032). 7886 (0.1112) nodes with in-deg > avg deg (15.0), 3132 (0.0442) with >2*avg.deg (Sun Apr 27 19:27:54 2014)
#
# In-degree	Count
0	8607
1	16667
2	9731
3	6571
4	4695
5	3573
6	2800
7	2242
8	1855
9	1485
10	1234
11	1085
12	973
13	839
14	688
15	627
16	541
17	488
18	444
19	416
20	313
21	283
22	265
23	218
24	223
25	229
26	193
27	186
28	163
29	165
30	145
31	132
32	99
33	97
34	111
35	91
36	92
37	102
38	75
39	72
40	81
41	75
42	59
43	74
44	78
45	54
46	53
47	52
48	32
49	46
50	46
51	42
52	42
53	38
54	26
55	42
56	35
57	22
58	30
59	35
60	23
61	43
62	20
63	26
64	27
65	28
66	23
67	18
68	18
69	15
70	23
71	17
72	19
73	18
74	15
75	16
76	14
77	14
78	18
79	17
80	25
81	15
82	15
83	15
84	13
85	13
86	10
87	10
88	10
89	10
90	10
91	12
92	9
93	15
94	14
95	13
96	14
97	7
98	10
99	14
100	9
101	11
102	11
103	11
104	8
105	10
106	5
107	6
108	7
109	7
110	6
111	11
112	5
113	6
114	9
115	2
116	5
117	7
118	6
119	4
120	3
121	5
122	1
123	4
124	8
125	5
126	5
127	2
128	3
129	2
130	2
131	6
132	2
133	2
134	1
135	3
136	5
137	3
138	1
139	4
140	3
141	4
142	3
143	6
144	4
145	3
146	4
147	6
148	1
149	5
150	3
151	4
152	5
153	3
154	3
155	2
156	3
157	1
159	2
160	2
161	1
162	1
163	2
164	2
165	5
166	2
167	1
168	1
169	4
170	3
171	3
172	1
174	2
176	1
177	1
178	1
179	1
180	2
181	1
182	1
183	1
184	3
185	2
186	1
187	3
188	3
189	1
190	2
191	4
193	3
194	2
195	1
196	1
197	1
198	1
200	3
202	2
203	1
204	2
205	1
207	1
208	2
211	2
212	2
214	1
215	1
216	2
217	2
218	1
221	1
222	1
223	1
224	2
225	2
227	3
229	2
230	5
231	1
232	3
233	4
234	1
235	2
237	1
238	1
242	1
243	1
244	1
245	1
246	2
247	1
249	1
251	1
252	1
253	1
256	1
260	1
262	2
269	1
271	1
272	1
273	2
275	1
277	1
283	1
284	2
289	1
291	1
296	1
299	1
300	1
304	1
306	1
309	1
311	1
322	1
323	1
329	2
330	1
332	1
336	1
340	2
343	2
347	1
348	1
351	1
356	1
359	1
361	1
379	1
382	2
383	1
387	1
399	2
401	1
402	1
408	1
414	1
418	1
419	2
424	1
425	1
429	1
436	1
438	1
452	2
455	1
467	1
487	1
498	1
505	1
513	1
524	1
560	1
644	1
678	1
705	1
752	1
843	1
1014	1
1026	1
1077	1
1148	1
1304	1
