#
# Out-degree Distribution. G(78437, 1618665). 12045 (0.1536) nodes with out-deg > avg deg (41.3), 4006 (0.0511) with >2*avg.deg (Tue Apr 29 23:48:30 2014)
#
# Out-degree	Count
0	10960
1	9100
2	4993
3	3627
4	2923
5	2445
6	2205
7	1928
8	1888
9	1688
10	1567
11	1465
12	1345
13	1299
14	1171
15	1168
16	1095
17	1047
18	912
19	895
20	801
21	842
22	763
23	778
24	765
25	683
26	662
27	639
28	596
29	590
30	594
31	548
32	501
33	475
34	471
35	446
36	493
37	453
38	363
39	399
40	398
41	411
42	347
43	371
44	346
45	300
46	296
47	290
48	278
49	287
50	250
51	263
52	241
53	221
54	247
55	240
56	236
57	211
58	214
59	212
60	205
61	165
62	181
63	152
64	152
65	154
66	155
67	156
68	170
69	133
70	149
71	148
72	128
73	128
74	123
75	141
76	115
77	101
78	122
79	95
80	115
81	102
82	99
83	96
84	103
85	89
86	106
87	77
88	91
89	82
90	89
91	79
92	80
93	67
94	87
95	68
96	62
97	55
98	54
99	56
100	49
101	59
102	51
103	75
104	51
105	62
106	39
107	55
108	60
109	42
110	50
111	45
112	37
113	44
114	32
115	41
116	33
117	41
118	49
119	48
120	37
121	29
122	32
123	31
124	34
125	26
126	45
127	31
128	30
129	22
130	27
131	34
132	30
133	32
134	31
135	31
136	31
137	30
138	25
139	23
140	28
141	23
142	20
143	15
144	23
145	22
146	21
147	15
148	20
149	13
150	19
151	32
152	19
153	13
154	16
155	9
156	23
157	20
158	20
159	12
160	9
161	11
162	17
163	13
164	16
165	18
166	18
167	17
168	11
169	7
170	13
171	13
172	8
173	7
174	13
175	9
176	11
177	12
178	10
179	8
180	8
181	8
182	7
183	10
184	12
185	8
186	6
187	12
188	8
189	7
190	8
191	8
192	4
193	7
194	10
195	10
196	6
197	8
198	7
199	3
200	4
201	8
202	5
203	3
204	11
205	3
206	8
207	7
208	4
209	6
210	3
211	4
212	5
213	6
214	6
215	1
216	4
217	5
218	5
219	5
220	5
222	5
223	4
224	4
225	4
226	10
227	4
228	5
229	6
231	2
232	4
233	2
234	1
235	4
238	1
239	4
240	1
241	2
242	2
243	1
244	3
245	1
246	3
247	2
248	2
249	2
251	3
252	3
254	3
255	2
256	1
257	3
258	1
259	3
260	1
261	3
262	2
263	3
264	2
265	4
266	3
267	1
268	1
269	1
270	1
271	2
272	1
273	3
275	2
276	2
277	1
278	2
279	1
280	1
281	1
284	2
286	3
287	1
290	2
291	1
293	1
294	3
295	1
296	1
297	1
298	2
299	2
303	1
304	1
306	1
307	1
308	1
309	1
311	1
312	2
313	1
314	1
316	1
318	3
319	1
320	1
321	1
323	1
324	2
331	1
332	1
333	1
334	1
336	1
338	1
347	1
351	2
354	1
355	1
356	1
364	1
366	1
380	1
385	1
387	1
388	1
400	1
422	1
439	1
475	1
482	1
515	1
572	1
