#
# Out-degree Distribution. G(80583, 1730617). 11784 (0.1462) nodes with out-deg > avg deg (43.0), 3170 (0.0393) with >2*avg.deg (Sun May  4 20:26:08 2014)
#
# Out-degree	Count
0	7240
1	6096
2	4278
3	3579
4	3145
5	2736
6	2662
7	2498
8	2316
9	2142
10	1999
11	1840
12	1845
13	1618
14	1583
15	1447
16	1416
17	1350
18	1260
19	1273
20	1138
21	1092
22	1010
23	1037
24	889
25	868
26	859
27	863
28	791
29	788
30	717
31	703
32	647
33	590
34	615
35	537
36	558
37	509
38	465
39	465
40	471
41	432
42	432
43	438
44	379
45	359
46	362
47	343
48	298
49	288
50	338
51	282
52	296
53	304
54	250
55	255
56	240
57	240
58	230
59	213
60	214
61	187
62	194
63	181
64	182
65	152
66	177
67	163
68	141
69	144
70	152
71	125
72	111
73	151
74	128
75	125
76	112
77	114
78	117
79	99
80	96
81	81
82	83
83	97
84	78
85	95
86	70
87	86
88	70
89	92
90	67
91	79
92	67
93	72
94	61
95	79
96	53
97	62
98	54
99	52
100	53
101	60
102	46
103	47
104	33
105	52
106	54
107	44
108	34
109	49
110	38
111	24
112	26
113	34
114	27
115	26
116	45
117	32
118	27
119	33
120	23
121	30
122	35
123	30
124	34
125	18
126	32
127	23
128	33
129	17
130	22
131	19
132	26
133	26
134	21
135	28
136	22
137	20
138	26
139	21
140	25
141	24
142	20
143	27
144	24
145	14
146	20
147	8
148	15
149	12
150	19
151	13
152	7
153	11
154	27
155	11
156	12
157	10
158	12
159	5
160	9
161	19
162	9
163	13
164	21
165	11
166	9
167	14
168	9
169	9
170	7
171	14
172	9
173	12
174	7
175	11
176	4
177	12
178	3
179	6
180	11
181	9
182	8
183	9
184	8
185	13
186	4
187	16
188	7
189	4
190	7
191	8
192	7
193	7
194	7
195	9
196	2
197	6
198	5
199	7
200	7
201	5
202	3
203	9
204	3
205	3
206	4
207	3
208	8
209	3
210	6
211	2
212	2
213	5
214	3
215	7
216	7
217	1
218	6
219	5
220	1
221	8
222	4
223	6
224	1
226	5
227	4
228	2
229	3
230	1
231	3
232	6
233	6
234	6
235	1
236	1
237	2
238	4
239	1
240	3
241	3
242	1
244	1
245	3
246	1
247	2
248	1
249	1
250	2
251	1
252	4
253	2
255	1
256	1
257	1
258	1
259	1
260	1
261	1
262	3
263	1
264	1
265	1
266	2
267	2
268	4
271	1
272	2
275	1
276	1
277	1
280	2
282	1
283	1
284	2
285	1
287	1
288	1
290	1
292	1
303	1
304	1
311	2
322	1
325	2
329	1
342	1
376	1
384	2
444	1
446	1
449	1
459	1
473	1
503	1
