#
# Out-degree Distribution. G(78665, 2362970). 7625 (0.0969) nodes with out-deg > avg deg (60.1), 3406 (0.0433) with >2*avg.deg (Sun Apr 27 15:07:28 2014)
#
# Out-degree	Count
0	2704
1	7408
2	6633
3	5705
4	4535
5	3800
6	3419
7	2787
8	2571
9	2223
10	1988
11	1842
12	1656
13	1456
14	1385
15	1356
16	1121
17	1073
18	1087
19	920
20	908
21	746
22	749
23	733
24	682
25	632
26	595
27	603
28	541
29	500
30	478
31	492
32	430
33	435
34	423
35	388
36	353
37	360
38	362
39	320
40	314
41	277
42	291
43	287
44	297
45	241
46	235
47	254
48	215
49	216
50	218
51	205
52	220
53	182
54	184
55	172
56	171
57	168
58	159
59	170
60	165
61	157
62	160
63	127
64	129
65	122
66	104
67	119
68	119
69	116
70	109
71	94
72	94
73	103
74	92
75	97
76	76
77	77
78	83
79	89
80	73
81	86
82	67
83	90
84	72
85	87
86	85
87	63
88	64
89	48
90	67
91	61
92	79
93	55
94	66
95	46
96	47
97	49
98	52
99	49
100	40
101	39
102	42
103	53
104	44
105	43
106	35
107	55
108	45
109	42
110	52
111	41
112	47
113	40
114	36
115	35
116	32
117	29
118	33
119	29
120	34
121	41
122	36
123	42
124	32
125	31
126	36
127	29
128	24
129	35
130	27
131	22
132	29
133	17
134	22
135	29
136	29
137	23
138	22
139	25
140	23
141	21
142	26
143	29
144	29
145	26
146	17
147	25
148	24
149	13
150	17
151	21
152	22
153	18
154	20
155	26
156	18
157	21
158	18
159	24
160	18
161	22
162	14
163	14
164	14
165	28
166	16
167	23
168	23
169	18
170	11
171	21
172	15
173	10
174	22
175	17
176	21
177	14
178	7
179	17
180	12
181	15
182	13
183	16
184	9
185	16
186	11
187	13
188	15
189	16
190	23
191	12
192	11
193	13
194	6
195	6
196	16
197	7
198	13
199	12
200	10
201	14
202	8
203	13
204	11
205	9
206	13
207	12
208	11
209	10
210	9
211	14
212	9
213	12
214	11
215	10
216	8
217	7
218	10
219	6
220	16
221	10
222	9
223	14
224	7
225	6
226	9
227	10
228	11
229	7
230	4
231	6
232	8
233	8
234	8
235	10
236	6
237	7
238	8
239	7
240	8
241	9
242	12
243	8
244	13
245	8
246	2
247	9
248	10
249	9
250	5
251	12
252	16
253	3
254	6
255	9
256	10
257	7
258	7
259	7
260	8
261	4
262	4
263	9
264	8
265	10
266	7
267	4
268	3
269	6
270	10
271	6
272	7
273	4
274	3
275	3
276	6
277	6
278	4
279	5
280	5
281	5
282	5
283	7
284	2
285	5
286	6
287	10
288	6
289	7
290	4
291	4
292	4
293	3
294	7
295	3
296	9
297	6
298	5
299	7
300	3
301	5
302	2
303	4
304	3
305	6
306	5
307	2
308	4
309	8
310	8
311	8
312	7
313	5
314	4
315	2
316	8
317	5
318	5
319	5
320	1
321	3
322	4
323	3
324	3
325	4
326	3
327	4
328	5
329	3
330	3
331	4
332	2
333	3
334	5
335	4
336	3
338	3
339	4
340	5
341	5
342	4
343	6
344	5
345	2
346	2
347	2
348	3
349	4
350	2
351	5
352	5
353	1
354	2
355	5
356	1
357	6
358	3
359	3
360	4
361	6
362	2
363	3
364	4
365	3
366	5
367	1
368	1
369	4
370	3
371	3
372	2
373	3
374	1
375	3
376	2
377	3
378	1
379	3
380	4
381	3
382	3
383	3
384	2
385	2
386	3
387	1
388	3
389	1
390	2
391	1
392	2
393	3
394	1
395	4
396	3
397	4
398	1
399	2
400	4
401	3
402	4
404	3
405	1
406	3
407	4
