#
# Out-degree Distribution. G(70931, 531032). 9182 (0.1294) nodes with out-deg > avg deg (15.0), 3416 (0.0482) with >2*avg.deg (Sun Apr 27 19:27:54 2014)
#
# Out-degree	Count
0	12496
1	11474
2	8091
3	5924
4	4696
5	3708
6	3089
7	2590
8	2035
9	1736
10	1545
11	1323
12	1104
13	1023
14	915
15	730
16	637
17	556
18	551
19	476
20	410
21	393
22	358
23	281
24	272
25	277
26	232
27	207
28	193
29	193
30	153
31	155
32	125
33	132
34	123
35	114
36	124
37	109
38	111
39	99
40	80
41	85
42	62
43	71
44	65
45	65
46	62
47	74
48	57
49	69
50	64
51	35
52	47
53	39
54	45
55	40
56	49
57	39
58	46
59	49
60	48
61	34
62	35
63	46
64	36
65	30
66	35
67	28
68	35
69	34
70	29
71	20
72	18
73	11
74	22
75	13
76	14
77	17
78	12
79	9
80	14
81	23
82	10
83	14
84	9
85	15
86	19
87	9
88	7
89	12
90	6
91	11
92	5
93	11
94	6
95	10
96	10
97	8
98	9
99	11
100	4
101	5
102	7
103	6
104	4
105	8
106	5
107	6
108	9
109	8
110	7
111	9
112	5
113	3
114	6
115	3
116	3
117	2
118	5
119	3
120	2
121	1
122	1
123	3
124	7
125	5
126	1
127	4
128	6
129	5
130	3
131	3
132	2
134	4
135	3
136	1
137	2
138	5
139	3
140	3
141	3
142	1
144	1
145	1
146	2
147	3
149	6
150	5
151	2
152	3
153	1
155	4
156	2
158	1
159	1
160	2
162	2
164	3
165	2
166	1
167	2
169	5
170	3
171	1
173	1
174	1
175	1
176	1
177	1
178	1
179	1
183	3
186	1
187	3
189	1
190	1
192	1
195	1
196	2
200	1
202	1
203	3
207	1
208	1
210	1
211	2
221	1
223	1
225	1
228	1
231	2
232	1
234	2
236	1
245	1
246	1
251	1
254	1
276	1
280	1
288	2
291	1
345	1
365	1
416	1
457	1
526	1
