#
# Out-degree Distribution. G(81306, 1768149). 11418 (0.1404) nodes with out-deg > avg deg (43.5), 3910 (0.0481) with >2*avg.deg (Tue Apr 22 23:00:25 2014)
#
# Out-degree	Count
0	11209
1	5689
2	4507
3	3937
4	3397
5	3035
6	2774
7	2389
8	2224
9	2113
10	1915
11	1754
12	1634
13	1499
14	1412
15	1300
16	1213
17	1227
18	1113
19	1093
20	975
21	942
22	894
23	845
24	819
25	723
26	729
27	722
28	653
29	619
30	618
31	563
32	545
33	515
34	495
35	473
36	466
37	423
38	459
39	437
40	384
41	378
42	411
43	366
44	339
45	345
46	343
47	311
48	262
49	248
50	245
51	278
52	245
53	242
54	224
55	213
56	201
57	229
58	191
59	213
60	188
61	197
62	171
63	177
64	162
65	154
66	159
67	132
68	147
69	141
70	129
71	141
72	116
73	110
74	105
75	118
76	112
77	94
78	110
79	101
80	94
81	86
82	74
83	94
84	101
85	80
86	86
87	86
88	89
89	81
90	69
91	80
92	56
93	59
94	66
95	76
96	67
97	62
98	75
99	52
100	47
101	69
102	44
103	59
104	49
105	57
106	51
107	47
108	41
109	52
110	47
111	44
112	46
113	27
114	40
115	38
116	37
117	33
118	45
119	27
120	34
121	38
122	34
123	44
124	36
125	25
126	25
127	25
128	24
129	31
130	32
131	22
132	20
133	25
134	30
135	20
136	18
137	20
138	17
139	32
140	31
141	22
142	31
143	20
144	25
145	25
146	17
147	22
148	16
149	21
150	26
151	19
152	21
153	18
154	21
155	20
156	23
157	24
158	22
159	20
160	15
161	19
162	9
163	12
164	11
165	15
166	12
167	17
168	14
169	13
170	5
171	20
172	12
173	17
174	23
175	9
176	14
177	9
178	15
179	11
180	7
181	13
182	16
183	20
184	16
185	6
186	14
187	16
188	14
189	11
190	17
191	11
192	7
193	6
194	12
195	9
196	12
197	6
198	14
199	13
200	8
201	9
202	11
203	11
204	13
205	8
206	6
207	4
208	9
209	5
210	5
211	9
212	15
213	7
214	15
215	5
216	10
217	14
218	6
219	4
220	8
221	8
222	5
223	8
224	9
225	9
226	11
227	5
228	5
229	4
230	11
231	7
232	11
233	9
234	5
235	8
236	6
237	4
238	11
239	7
240	7
241	8
242	6
243	5
244	7
245	5
246	4
247	4
248	5
249	11
250	7
251	4
252	1
253	3
256	1
258	2
259	4
260	3
261	2
262	2
263	1
264	3
265	3
266	3
267	1
269	4
271	3
272	4
273	2
275	1
276	4
277	1
278	2
279	2
281	1
282	2
286	2
289	2
290	1
291	1
292	1
293	1
294	1
297	1
298	2
299	1
300	2
302	1
303	2
306	2
307	1
309	2
310	2
312	1
313	2
316	1
317	2
318	1
319	1
320	3
322	1
327	1
329	2
330	1
331	1
332	1
333	1
334	2
335	1
336	1
337	1
339	2
342	1
345	1
346	1
350	1
351	1
352	1
353	1
354	3
356	1
357	1
359	2
361	2
363	1
364	3
365	1
366	1
370	1
372	1
373	2
382	1
391	2
395	1
396	1
397	2
402	1
405	1
407	1
414	1
419	1
427	1
431	2
434	1
435	1
436	1
437	1
438	1
455	1
457	1
460	1
465	1
477	1
491	1
492	1
493	1
503	1
508	1
513	1
519	1
521	1
526	1
530	2
544	1
546	1
575	1
581	1
603	1
630	1
631	1
659	1
687	1
705	1
713	1
719	1
724	1
930	1
1069	1
1111	1
1158	1
1205	1
