#
# Out-degree Distribution. G(80776, 1730617). 11921 (0.1476) nodes with out-deg > avg deg (42.8), 3292 (0.0408) with >2*avg.deg (Tue Apr 29 01:21:44 2014)
#
# Out-degree	Count
0	10084
1	6477
2	3296
3	3008
4	2926
5	2705
6	2478
7	2286
8	2154
9	2071
10	1958
11	1807
12	1691
13	1623
14	1490
15	1442
16	1428
17	1296
18	1235
19	1194
20	1127
21	1056
22	1043
23	967
24	952
25	881
26	832
27	800
28	750
29	704
30	750
31	711
32	640
33	579
34	596
35	565
36	558
37	493
38	459
39	471
40	442
41	414
42	416
43	385
44	405
45	373
46	351
47	332
48	320
49	328
50	295
51	282
52	275
53	284
54	242
55	268
56	290
57	208
58	237
59	240
60	189
61	207
62	199
63	206
64	139
65	189
66	151
67	176
68	135
69	136
70	158
71	125
72	142
73	127
74	131
75	130
76	110
77	89
78	100
79	91
80	107
81	100
82	97
83	109
84	89
85	82
86	76
87	70
88	90
89	69
90	93
91	66
92	65
93	72
94	68
95	64
96	56
97	67
98	62
99	47
100	69
101	59
102	57
103	52
104	44
105	45
106	45
107	48
108	39
109	32
110	48
111	31
112	28
113	29
114	27
115	37
116	38
117	34
118	25
119	39
120	36
121	25
122	30
123	25
124	26
125	38
126	27
127	31
128	27
129	25
130	10
131	25
132	18
133	13
134	22
135	29
136	27
137	23
138	20
139	36
140	25
141	18
142	23
143	26
144	24
145	19
146	18
147	11
148	18
149	15
150	15
151	9
152	14
153	14
154	16
155	9
156	18
157	9
158	16
159	19
160	9
161	11
162	8
163	12
164	10
165	14
166	6
167	9
168	18
169	11
170	7
171	16
172	11
173	10
174	11
175	10
176	7
177	6
178	12
179	7
180	10
181	8
182	6
183	10
184	6
185	7
186	5
187	6
188	13
189	9
190	12
191	11
192	5
193	7
194	12
195	4
196	10
197	8
198	8
199	10
200	6
201	7
202	6
203	5
204	2
205	7
206	2
207	8
208	5
209	7
210	5
211	5
212	10
213	2
214	4
215	6
216	4
217	7
218	3
219	4
220	2
221	1
222	2
223	5
224	3
225	5
226	3
227	4
228	3
229	5
230	4
231	3
232	3
233	3
234	7
235	5
236	5
237	3
238	2
239	1
240	3
241	4
242	1
243	2
244	1
245	1
246	5
247	2
248	1
250	2
251	5
252	5
253	1
255	1
256	3
257	2
258	3
259	3
260	1
261	2
262	2
263	3
264	3
267	1
269	1
270	1
271	2
272	5
273	2
274	1
276	2
279	1
282	2
283	1
290	3
292	2
293	1
301	1
303	1
304	1
306	1
310	1
312	1
313	1
317	1
323	1
340	1
342	1
347	1
355	1
368	1
370	1
371	1
388	1
399	1
428	1
446	1
449	1
461	1
492	1
519	1
558	1
