#
# Out-degree Distribution. G(75718, 525348). 10785 (0.1424) nodes with out-deg > avg deg (13.9), 3575 (0.0472) with >2*avg.deg (Wed Apr 30 17:12:35 2014)
#
# Out-degree	Count
0	13940
1	13913
2	6784
3	5315
4	4707
5	4001
6	3311
7	2877
8	2382
9	2061
10	1696
11	1469
12	1347
13	1130
14	1005
15	845
16	763
17	685
18	675
19	514
20	496
21	408
22	425
23	295
24	331
25	296
26	255
27	217
28	228
29	212
30	185
31	157
32	158
33	155
34	119
35	110
36	122
37	104
38	107
39	88
40	97
41	84
42	92
43	76
44	70
45	69
46	66
47	56
48	50
49	49
50	50
51	57
52	51
53	48
54	46
55	42
56	45
57	38
58	36
59	37
60	39
61	33
62	36
63	26
64	34
65	29
66	23
67	17
68	25
69	27
70	21
71	27
72	20
73	11
74	24
75	10
76	16
77	10
78	10
79	11
80	11
81	11
82	10
83	5
84	11
85	7
86	6
87	6
88	4
89	5
90	10
91	4
92	6
93	4
94	7
95	5
96	6
97	5
98	3
99	2
100	1
101	5
102	3
103	4
104	4
105	3
106	1
107	1
108	4
109	4
111	2
112	1
113	1
114	1
116	3
117	1
118	2
119	2
120	1
121	4
122	1
123	3
124	2
125	1
126	1
127	1
129	1
130	1
131	2
132	1
134	1
137	1
138	2
141	1
143	1
145	1
146	1
148	2
151	1
152	2
153	1
156	1
160	1
161	1
162	1
163	1
166	2
176	1
182	1
183	1
202	1
204	1
212	1
223	1
266	1
291	1
338	1
343	1
