#
# Out-degree Distribution. G(79090, 1699181). 7736 (0.0978) nodes with out-deg > avg deg (43.0), 2763 (0.0349) with >2*avg.deg (Tue Apr 29 16:38:11 2014)
#
# Out-degree	Count
0	2534
1	5375
2	5024
3	4755
4	4235
5	4035
6	3733
7	3338
8	3116
9	2823
10	2561
11	2286
12	2172
13	2003
14	1900
15	1669
16	1577
17	1487
18	1378
19	1258
20	1255
21	1057
22	988
23	982
24	856
25	821
26	717
27	734
28	656
29	575
30	568
31	570
32	503
33	477
34	488
35	416
36	402
37	387
38	347
39	357
40	321
41	349
42	269
43	266
44	257
45	234
46	217
47	230
48	204
49	193
50	176
51	165
52	171
53	155
54	146
55	160
56	130
57	147
58	119
59	130
60	135
61	120
62	107
63	90
64	101
65	84
66	92
67	86
68	85
69	69
70	73
71	69
72	61
73	69
74	59
75	55
76	50
77	60
78	64
79	41
80	45
81	59
82	54
83	44
84	49
85	52
86	47
87	42
88	52
89	42
90	37
91	33
92	39
93	50
94	33
95	37
96	47
97	34
98	27
99	25
100	29
101	30
102	27
103	27
104	28
105	29
106	28
107	19
108	25
109	29
110	30
111	24
112	26
113	22
114	23
115	23
116	19
117	16
118	30
119	20
120	17
121	17
122	17
123	27
124	16
125	18
126	16
127	11
128	15
129	15
130	13
131	13
132	19
133	8
134	16
135	15
136	15
137	11
138	14
139	16
140	14
141	11
142	14
143	6
144	16
145	9
146	12
147	16
148	17
149	8
150	12
151	14
152	18
153	10
154	15
155	12
156	11
157	14
158	9
159	13
160	8
161	14
162	13
163	8
164	15
165	5
166	8
167	14
168	6
169	13
170	13
171	7
172	4
173	8
174	15
175	6
176	14
177	9
178	2
179	7
180	8
181	9
182	12
183	5
184	8
185	5
186	10
187	9
188	4
189	5
190	8
191	7
192	7
193	6
194	7
195	7
196	6
197	3
198	3
199	12
200	7
201	6
202	3
203	8
204	7
205	2
206	3
207	8
208	4
209	9
210	10
211	5
212	5
213	4
214	3
215	5
217	3
218	6
219	6
221	4
222	3
223	4
224	3
225	4
226	6
227	4
228	7
229	4
230	7
231	7
232	10
233	3
234	2
235	3
236	7
237	1
238	3
239	1
240	6
241	9
242	5
243	3
244	4
245	2
246	4
247	3
248	4
249	4
250	4
251	2
252	2
253	4
254	5
255	3
256	1
257	6
258	2
259	1
260	2
261	3
262	1
263	8
264	4
265	1
266	4
267	4
268	5
269	4
270	2
271	4
272	2
273	1
274	2
275	4
276	5
277	3
278	6
279	8
280	3
281	3
283	4
284	5
285	1
287	2
288	6
290	2
291	3
292	5
293	1
294	5
295	1
296	3
297	4
298	3
299	1
301	5
302	2
303	2
304	2
305	2
307	1
308	2
309	4
310	3
311	2
312	1
313	2
314	4
315	1
316	4
319	1
320	3
321	3
322	3
323	1
324	2
325	2
327	2
328	1
329	3
331	3
332	3
334	1
335	2
337	2
338	2
339	1
340	2
341	3
342	2
343	2
344	1
345	4
348	1
349	2
350	1
351	1
352	3
355	2
356	2
357	3
358	3
359	3
360	1
362	2
363	1
364	2
365	3
366	1
369	1
373	2
374	2
375	1
376	2
377	2
379	2
380	1
381	1
384	1
386	1
387	1
388	1
389	2
391	3
392	3
393	3
394	1
398	2
399	1
401	3
402	2
403	2
404	1
405	1
406	5
409	1
410	1
411	1
412	2
413	1
414	2
415	4
416	1
418	3
419	1
420	1
422	2
423	1
427	1
428	2
429	1
430	1
432	1
433	1
434	1
435	2
436	2
437	1
438	2
441	1
443	1
444	1
446	1
449	1
452	2
458	1
459	2
460	1
461	1
462	1
463	1
464	1
465	1
466	1
467	2
468	2
470	2
473	1
474	2
476	3
480	2
488	2
489	1
495	1
498	2
500	1
501	1
503	1
506	2
508	1
513	1
514	1
515	2
516	1
517	2
519	2
520	1
521	1
522	2
523	1
527	1
529	2
530	1
531	1
532	1
536	1
537	2
538	1
542	1
543	1
545	1
550	1
551	1
557	1
561	1
562	1
563	2
564	2
567	1
570	1
573	1
574	1
580	1
581	1
583	1
584	1
588	1
589	1
594	1
599	3
600	1
603	2
604	1
605	1
608	1
610	1
612	2
613	1
623	1
624	1
626	2
629	1
630	1
634	1
637	2
642	2
644	1
647	2
648	1
651	1
652	1
657	2
660	1
666	1
667	1
668	1
669	1
673	1
678	1
679	1
687	1
689	1
693	1
694	1
701	1
704	1
708	1
711	1
715	1
718	1
719	1
721	1
723	1
726	1
729	1
733	1
736	1
741	1
742	1
743	1
746	1
753	1
754	1
755	1
757	3
762	1
768	1
771	1
778	2
779	1
782	1
786	1
788	1
791	1
793	1
799	1
800	1
815	1
827	1
839	1
841	1
845	1
855	1
856	1
863	1
864	1
865	1
877	1
888	1
889	1
899	1
901	1
905	1
921	1
939	1
941	1
942	1
947	1
957	1
998	1
1002	1
1007	1
1017	1
1018	1
1027	1
1033	1
1035	1
1043	1
1082	1
1107	1
1118	1
1123	1
1149	1
1167	1
1174	1
1210	1
1215	1
1250	1
1253	1
1261	1
1269	1
1289	1
1290	1
1306	1
1314	1
1344	1
1345	1
1379	1
1420	1
1434	1
1451	1
1491	1
1521	1
1587	1
1813	1
1822	1
1825	1
1846	1
1897	1
2152	1
2262	1
3377	1
3454	1
3457	1
3710	1
