#
# Out-degree Distribution. G(78786, 1634509). 11703 (0.1485) nodes with out-deg > avg deg (41.5), 3605 (0.0458) with >2*avg.deg (Wed Apr 30 02:16:17 2014)
#
# Out-degree	Count
0	6569
1	7747
2	5451
3	4300
4	3506
5	2935
6	2642
7	2373
8	2134
9	1915
10	1808
11	1613
12	1581
13	1449
14	1329
15	1237
16	1263
17	1173
18	1071
19	1073
20	999
21	905
22	905
23	817
24	794
25	751
26	709
27	714
28	657
29	658
30	576
31	629
32	564
33	543
34	536
35	509
36	473
37	486
38	436
39	463
40	379
41	411
42	396
43	361
44	328
45	309
46	328
47	293
48	291
49	287
50	265
51	262
52	235
53	233
54	245
55	226
56	208
57	197
58	203
59	192
60	202
61	197
62	150
63	176
64	161
65	180
66	172
67	181
68	143
69	146
70	152
71	133
72	121
73	115
74	115
75	119
76	117
77	123
78	108
79	107
80	105
81	122
82	94
83	104
84	99
85	79
86	86
87	75
88	87
89	66
90	67
91	75
92	65
93	71
94	74
95	76
96	76
97	61
98	52
99	65
100	54
101	67
102	51
103	51
104	51
105	48
106	45
107	48
108	35
109	33
110	43
111	40
112	48
113	40
114	42
115	36
116	44
117	35
118	32
119	27
120	36
121	36
122	28
123	26
124	22
125	21
126	28
127	22
128	22
129	24
130	29
131	35
132	25
133	21
134	26
135	19
136	30
137	21
138	24
139	16
140	23
141	22
142	25
143	21
144	16
145	12
146	27
147	17
148	7
149	13
150	18
151	17
152	13
153	19
154	28
155	13
156	19
157	18
158	15
159	13
160	11
161	11
162	10
163	22
164	22
165	8
166	19
167	12
168	6
169	8
170	12
171	12
172	12
173	7
174	8
175	13
176	4
177	12
178	5
179	5
180	9
181	10
182	13
183	10
184	11
185	1
186	8
187	2
188	5
189	11
190	5
191	6
192	4
193	9
194	3
195	2
196	10
197	6
198	6
199	8
200	4
201	4
202	2
203	5
204	4
205	8
206	5
207	4
208	4
209	4
210	3
211	4
212	6
213	4
214	3
215	3
216	3
217	4
218	2
219	3
220	4
221	3
222	7
223	2
224	3
225	4
226	4
227	3
228	3
229	7
230	2
231	2
232	1
234	1
235	4
236	4
237	1
238	3
239	3
240	2
241	2
242	1
244	1
245	2
246	2
249	3
250	2
251	1
252	1
253	2
254	1
255	1
256	1
257	1
259	1
260	3
261	1
262	2
263	1
265	2
266	3
267	3
268	1
269	1
271	1
273	1
274	1
275	2
278	1
279	2
282	1
283	1
284	3
286	1
287	1
288	1
289	1
294	1
295	1
297	1
298	1
299	1
307	1
312	1
313	1
316	1
323	2
324	1
328	1
333	1
336	1
339	2
340	1
345	1
347	1
351	1
352	1
367	1
383	1
384	1
388	1
400	1
405	1
447	1
479	1
482	1
484	1
512	1
535	1
