#
# Out-degree Distribution. G(78415, 1619335). 12079 (0.1540) nodes with out-deg > avg deg (41.3), 3972 (0.0507) with >2*avg.deg (Sun May  4 14:17:54 2014)
#
# Out-degree	Count
0	10831
1	8965
2	5242
3	3536
4	2894
5	2428
6	2167
7	2028
8	1887
9	1674
10	1548
11	1408
12	1400
13	1259
14	1181
15	1191
16	1032
17	1079
18	978
19	913
20	828
21	812
22	792
23	765
24	725
25	731
26	685
27	637
28	625
29	587
30	590
31	531
32	529
33	496
34	495
35	467
36	447
37	428
38	396
39	361
40	398
41	370
42	342
43	364
44	324
45	302
46	315
47	316
48	312
49	278
50	280
51	246
52	245
53	265
54	245
55	227
56	188
57	220
58	201
59	205
60	200
61	192
62	177
63	180
64	178
65	178
66	163
67	154
68	151
69	130
70	131
71	133
72	122
73	138
74	118
75	122
76	124
77	116
78	120
79	104
80	106
81	94
82	101
83	103
84	77
85	86
86	81
87	83
88	97
89	95
90	85
91	98
92	80
93	68
94	77
95	70
96	52
97	58
98	67
99	49
100	56
101	59
102	58
103	52
104	48
105	45
106	49
107	49
108	38
109	46
110	55
111	35
112	38
113	35
114	47
115	49
116	42
117	44
118	45
119	34
120	39
121	38
122	34
123	44
124	35
125	33
126	23
127	34
128	52
129	26
130	23
131	31
132	26
133	35
134	32
135	32
136	28
137	24
138	18
139	25
140	17
141	14
142	19
143	22
144	18
145	30
146	24
147	21
148	20
149	17
150	17
151	13
152	14
153	19
154	22
155	15
156	22
157	10
158	13
159	18
160	13
161	13
162	9
163	14
164	14
165	18
166	22
167	6
168	10
169	17
170	10
171	13
172	12
173	10
174	11
175	14
176	11
177	16
178	11
179	12
180	8
181	9
182	9
183	8
184	11
185	9
186	5
187	14
188	9
189	7
190	3
191	8
192	10
193	10
194	8
195	9
196	4
197	8
198	8
199	6
200	4
201	9
202	7
203	3
204	8
205	7
206	3
207	1
208	4
209	4
210	3
211	7
212	7
213	5
214	4
215	6
216	4
217	5
218	5
219	5
220	5
221	3
222	7
223	10
225	3
226	4
227	3
228	3
229	3
230	5
231	6
232	5
233	6
234	4
235	9
236	3
237	4
238	4
239	1
240	2
241	2
242	1
244	5
245	4
246	2
247	4
248	1
249	1
252	1
253	2
254	1
255	2
256	3
259	1
260	1
261	1
262	2
263	3
265	2
269	1
270	2
273	1
274	3
278	1
279	1
280	2
281	2
282	2
283	1
284	2
287	2
288	1
289	1
291	1
294	2
295	1
298	2
300	2
302	1
303	2
304	1
305	1
307	1
308	2
309	1
313	1
316	1
318	2
320	2
322	1
324	1
326	1
329	1
334	1
336	1
340	1
341	1
342	1
343	1
344	1
348	1
349	2
350	3
353	1
354	1
368	1
374	1
379	1
386	1
399	1
414	1
427	1
435	1
446	1
504	1
520	1
526	1
