#
# Out-degree Distribution. G(80374, 1730617). 11308 (0.1407) nodes with out-deg > avg deg (43.1), 3076 (0.0383) with >2*avg.deg (Mon May  5 02:51:35 2014)
#
# Out-degree	Count
0	6342
1	5825
2	4390
3	3819
4	3198
5	2946
6	2752
7	2564
8	2293
9	2167
10	2022
11	1882
12	1827
13	1690
14	1549
15	1534
16	1443
17	1306
18	1313
19	1190
20	1168
21	1128
22	1020
23	978
24	941
25	924
26	840
27	851
28	790
29	753
30	709
31	688
32	687
33	648
34	559
35	585
36	512
37	509
38	488
39	451
40	478
41	489
42	425
43	393
44	378
45	369
46	384
47	337
48	319
49	331
50	333
51	270
52	279
53	261
54	261
55	239
56	239
57	237
58	220
59	205
60	174
61	216
62	172
63	183
64	184
65	164
66	150
67	135
68	156
69	159
70	134
71	153
72	139
73	136
74	117
75	119
76	127
77	101
78	124
79	103
80	90
81	77
82	114
83	91
84	83
85	91
86	78
87	88
88	74
89	66
90	76
91	71
92	74
93	83
94	67
95	66
96	53
97	65
98	59
99	52
100	49
101	56
102	59
103	40
104	41
105	38
106	44
107	44
108	46
109	33
110	44
111	36
112	21
113	42
114	38
115	31
116	28
117	32
118	37
119	30
120	28
121	37
122	32
123	32
124	29
125	25
126	25
127	22
128	22
129	24
130	18
131	25
132	23
133	25
134	25
135	27
136	30
137	24
138	18
139	24
140	18
141	22
142	17
143	20
144	16
145	19
146	18
147	17
148	18
149	24
150	15
151	12
152	18
153	14
154	17
155	15
156	9
157	18
158	10
159	16
160	11
161	15
162	10
163	9
164	12
165	11
166	13
167	8
168	11
169	12
170	10
171	10
172	9
173	10
174	7
175	8
176	6
177	8
178	9
179	8
180	10
181	7
182	3
183	7
184	7
185	6
186	5
187	8
188	7
189	8
190	8
191	5
192	7
193	5
194	11
195	5
196	5
197	3
198	4
199	7
200	7
201	11
202	5
203	5
204	5
205	4
206	4
207	5
208	7
209	6
210	3
211	2
212	5
213	6
214	5
215	2
216	1
217	3
218	2
219	4
220	1
221	3
222	5
223	2
224	2
225	5
226	4
227	2
228	3
229	3
230	1
231	2
233	4
234	2
235	3
236	1
237	5
239	2
240	4
241	1
243	4
244	3
245	3
246	1
247	1
249	2
252	2
255	2
256	1
257	2
258	3
259	1
260	2
262	1
263	3
265	1
267	2
268	2
270	2
271	1
273	1
275	2
278	1
280	3
284	1
285	1
288	1
291	2
292	1
293	1
294	1
301	2
304	1
305	1
309	1
313	1
347	1
355	2
374	1
375	1
380	1
395	1
433	1
452	1
453	1
456	1
471	1
483	1
