#
# Out-degree Distribution. G(80307, 1730617). 7577 (0.0944) nodes with out-deg > avg deg (43.1), 3199 (0.0398) with >2*avg.deg (Mon May  5 02:51:29 2014)
#
# Out-degree	Count
0	4104
1	6241
2	6054
3	5686
4	5141
5	4449
6	4052
7	3633
8	3147
9	2777
10	2534
11	2279
12	1964
13	1720
14	1562
15	1443
16	1327
17	1179
18	1088
19	1032
20	877
21	867
22	818
23	705
24	671
25	660
26	650
27	552
28	532
29	482
30	468
31	416
32	404
33	398
34	369
35	335
36	343
37	301
38	314
39	246
40	244
41	223
42	243
43	200
44	235
45	206
46	179
47	211
48	159
49	194
50	165
51	155
52	140
53	142
54	149
55	132
56	109
57	119
58	130
59	123
60	99
61	107
62	84
63	71
64	93
65	86
66	79
67	81
68	78
69	84
70	67
71	77
72	61
73	68
74	56
75	52
76	63
77	68
78	53
79	48
80	59
81	42
82	38
83	60
84	55
85	58
86	43
87	36
88	48
89	52
90	38
91	34
92	49
93	40
94	36
95	42
96	31
97	38
98	34
99	39
100	38
101	24
102	45
103	30
104	29
105	27
106	22
107	24
108	31
109	25
110	29
111	33
112	19
113	24
114	29
115	23
116	21
117	20
118	26
119	22
120	20
121	28
122	27
123	24
124	26
125	16
126	22
127	25
128	16
129	19
130	16
131	19
132	15
133	15
134	31
135	14
136	18
137	20
138	12
139	15
140	25
141	14
142	14
143	11
144	25
145	12
146	15
147	19
148	17
149	14
150	13
151	13
152	16
153	10
154	13
155	22
156	15
157	9
158	10
159	13
160	10
161	12
162	10
163	14
164	9
165	9
166	13
167	19
168	10
169	7
170	16
171	11
172	19
173	8
174	12
175	8
176	8
177	11
178	10
179	7
180	14
181	10
182	8
183	9
184	10
185	8
186	9
187	5
188	11
189	13
190	13
191	8
192	9
193	7
194	8
195	7
196	12
197	6
198	12
199	6
200	7
201	5
202	9
203	6
204	6
205	7
206	10
207	9
208	4
209	8
210	7
211	2
212	7
213	7
214	5
215	2
216	5
217	6
218	6
219	7
220	5
221	7
222	2
223	3
224	11
225	1
226	7
227	10
228	8
229	6
230	6
231	7
232	5
233	3
234	9
235	3
236	2
237	4
238	2
239	3
240	3
241	2
242	1
243	2
244	6
245	7
246	2
247	7
248	4
249	4
250	2
251	5
252	4
253	1
254	1
255	5
256	4
257	6
258	3
259	7
260	3
261	3
262	7
263	4
264	5
265	3
266	3
267	5
268	3
269	4
270	6
271	4
272	5
273	1
274	7
275	3
276	1
277	4
278	4
279	2
280	3
281	4
282	2
283	4
284	4
285	6
286	3
287	3
288	4
289	5
290	1
291	4
292	5
293	6
294	4
295	4
296	5
297	4
298	4
299	1
300	3
301	3
302	3
303	4
304	3
305	1
306	4
308	3
309	2
310	4
311	4
313	1
314	1
315	2
316	2
317	4
318	2
319	1
320	4
321	4
322	3
323	3
324	6
325	5
327	4
328	5
329	5
330	2
333	2
334	2
335	2
336	1
337	3
338	3
339	1
340	3
341	2
342	1
343	1
344	1
345	1
346	4
347	3
348	1
349	2
350	2
351	2
352	2
353	4
354	1
355	4
356	4
357	2
358	1
359	2
360	2
361	1
362	1
364	2
365	2
366	1
367	1
369	1
372	2
373	1
374	2
377	1
378	3
379	1
380	1
382	1
383	2
385	2
386	1
387	2
388	1
390	3
392	1
393	1
395	1
396	2
397	2
398	3
399	1
400	1
401	1
402	2
403	1
404	3
405	2
406	1
407	1
408	1
409	2
410	3
411	3
412	1
413	1
416	2
417	2
418	1
420	4
422	4
423	4
424	2
426	1
428	1
429	2
431	3
432	2
433	3
434	1
435	1
436	2
437	2
438	4
439	2
441	2
442	2
443	3
444	1
445	1
446	2
447	1
448	1
449	1
451	1
452	2
453	1
454	1
456	2
460	2
461	1
462	2
463	2
466	1
467	3
468	1
469	1
470	1
472	1
473	2
477	1
480	2
481	1
484	2
485	1
486	1
489	1
490	3
491	1
497	1
498	1
499	1
500	2
501	2
503	2
504	1
505	2
507	1
510	1
511	2
515	1
520	2
521	1
525	1
526	2
527	1
528	1
529	1
530	1
531	1
532	4
535	1
536	1
537	4
540	2
541	2
542	1
547	3
548	1
550	1
551	2
552	1
553	2
555	1
557	2
562	1
563	1
564	1
565	1
566	1
570	2
575	2
576	1
582	1
584	2
589	1
592	2
595	1
596	2
597	1
599	1
601	1
603	1
604	1
606	1
610	2
612	1
614	2
617	1
619	1
622	1
625	1
