#
# Out-degree Distribution. G(80155, 2145624). 7854 (0.0980) nodes with out-deg > avg deg (53.5), 3380 (0.0422) with >2*avg.deg (Sun May  4 21:56:48 2014)
#
# Out-degree	Count
0	3661
1	6472
2	6388
3	5547
4	4893
5	4228
6	3604
7	3212
8	2787
9	2579
10	2188
11	2006
12	1782
13	1607
14	1518
15	1315
16	1222
17	1074
18	1023
19	1016
20	911
21	861
22	818
23	725
24	713
25	636
26	595
27	544
28	539
29	543
30	458
31	482
32	440
33	403
34	427
35	403
36	324
37	362
38	340
39	331
40	296
41	279
42	301
43	270
44	261
45	257
46	236
47	222
48	226
49	216
50	205
51	193
52	175
53	187
54	137
55	174
56	148
57	161
58	158
59	153
60	151
61	131
62	118
63	126
64	130
65	102
66	108
67	118
68	103
69	94
70	106
71	95
72	87
73	97
74	97
75	83
76	92
77	82
78	76
79	73
80	60
81	79
82	82
83	62
84	54
85	66
86	66
87	55
88	63
89	61
90	58
91	47
92	64
93	57
94	47
95	46
96	51
97	46
98	47
99	52
100	44
101	46
102	42
103	41
104	39
105	37
106	27
107	35
108	42
109	38
110	37
111	35
112	31
113	31
114	38
115	32
116	28
117	35
118	31
119	31
120	34
121	24
122	28
123	33
124	32
125	40
126	29
127	32
128	29
129	26
130	31
131	29
132	22
133	25
134	22
135	21
136	21
137	17
138	16
139	18
140	19
141	23
142	15
143	21
144	18
145	18
146	24
147	20
148	15
149	15
150	15
151	14
152	22
153	17
154	22
155	13
156	15
157	26
158	16
159	15
160	20
161	17
162	13
163	10
164	14
165	15
166	19
167	17
168	15
169	18
170	6
171	17
172	17
173	6
174	19
175	14
176	14
177	18
178	15
179	14
180	10
181	16
182	15
183	13
184	8
185	16
186	13
187	11
188	13
189	12
190	13
191	14
192	14
193	6
194	7
195	15
196	11
197	12
198	10
199	6
200	11
201	12
202	11
203	8
204	11
205	7
206	9
207	12
208	7
209	3
210	10
211	13
212	14
213	10
214	8
215	8
216	7
217	5
218	10
219	10
220	8
221	9
222	4
223	9
224	8
225	7
226	8
227	12
228	6
229	17
230	6
231	6
232	5
233	7
234	3
235	2
236	9
237	11
238	10
239	8
240	4
241	8
242	6
243	8
244	5
245	4
246	4
247	5
248	10
249	4
250	10
251	6
252	4
253	5
254	3
255	6
256	8
257	12
258	5
259	6
260	5
261	9
262	8
263	6
264	7
265	7
266	5
267	9
268	14
269	5
270	6
271	4
272	7
273	5
274	3
275	4
276	5
277	4
278	7
279	2
280	5
281	5
282	2
283	6
284	2
285	3
286	6
287	4
288	9
289	7
290	2
291	1
292	9
293	8
294	5
295	5
296	3
297	7
298	2
299	9
300	2
301	1
302	3
303	5
304	5
305	4
306	6
307	4
308	3
309	4
310	3
311	6
312	2
313	4
314	4
315	4
316	3
317	7
318	4
319	3
320	2
322	5
323	6
324	3
325	1
326	4
327	4
328	7
329	3
330	3
331	6
332	1
333	3
334	2
335	4
336	4
337	1
338	3
339	1
340	2
341	1
342	2
343	4
344	2
345	3
346	5
347	1
348	8
349	5
350	2
351	5
352	4
353	3
354	1
355	1
356	3
357	1
358	2
359	4
360	1
361	2
362	4
363	2
364	1
365	3
366	2
367	1
368	1
369	1
370	3
371	3
372	2
373	2
374	3
375	2
376	5
377	1
378	3
379	5
380	1
381	3
382	2
383	3
384	2
385	3
386	5
387	2
388	3
389	3
390	1
391	3
392	4
393	2
394	3
395	2
396	3
397	1
398	2
399	2
400	3
401	1
402	1
403	2
404	2
405	1
407	2
408	5
409	2
410	2
411	1
412	2
413	4
414	3
415	2
416	1
418	1
419	1
420	1
421	2
422	1
423	3
424	1
