#
# Out-degree Distribution. G(16307, 61319). 1543 (0.0946) nodes with out-deg > avg deg (7.5), 656 (0.0402) with >2*avg.deg (Sun Apr 27 20:56:18 2014)
#
# Out-degree	Count
0	1821
1	7002
2	2549
3	1394
4	785
5	536
6	394
7	283
8	190
9	197
10	140
11	105
12	78
13	69
14	64
15	44
16	45
17	34
18	43
19	29
20	23
21	23
22	26
23	21
24	38
25	14
26	20
27	15
28	16
29	17
30	15
31	11
32	8
33	10
34	10
35	8
36	9
37	3
38	6
39	11
40	6
41	10
42	3
43	6
44	5
45	8
46	10
47	4
48	3
49	7
50	2
51	2
52	1
53	6
54	6
55	3
57	5
58	4
59	1
60	4
61	6
62	6
63	2
64	2
65	5
66	2
67	3
68	1
69	2
70	2
71	1
72	2
73	3
74	7
75	2
76	2
77	1
78	1
79	2
80	1
82	1
83	2
84	1
85	2
86	5
87	1
88	3
89	1
90	1
91	3
92	2
96	1
97	4
100	2
101	2
102	1
104	2
105	1
107	1
108	1
114	1
118	1
119	1
121	1
124	1
140	1
145	1
171	1
178	1
186	1
215	1
216	1
259	1
334	1
653	1
