#
# Out-degree Distribution. G(70948, 531003). 9227 (0.1301) nodes with out-deg > avg deg (15.0), 3435 (0.0484) with >2*avg.deg (Sun Apr 27 20:18:03 2014)
#
# Out-degree	Count
0	12400
1	11593
2	8033
3	6026
4	4713
5	3686
6	3038
7	2540
8	2118
9	1732
10	1582
11	1268
12	1178
13	977
14	837
15	792
16	686
17	584
18	510
19	430
20	418
21	323
22	340
23	317
24	295
25	259
26	221
27	229
28	194
29	194
30	156
31	150
32	139
33	143
34	135
35	112
36	107
37	111
38	94
39	108
40	107
41	74
42	76
43	72
44	67
45	49
46	59
47	67
48	67
49	55
50	60
51	66
52	57
53	45
54	46
55	46
56	51
57	27
58	35
59	38
60	39
61	38
62	35
63	38
64	31
65	28
66	42
67	32
68	29
69	23
70	22
71	21
72	23
73	17
74	17
75	16
76	17
77	12
78	16
79	13
80	7
81	18
82	14
83	14
84	10
85	20
86	10
87	9
88	11
89	7
90	15
91	10
92	8
93	10
94	11
95	10
96	9
97	7
98	8
99	6
100	9
101	6
102	7
103	8
104	6
105	8
106	8
107	5
108	7
109	6
110	5
111	7
112	3
113	9
114	5
115	6
116	2
117	3
118	2
119	4
120	1
121	3
122	2
123	1
124	7
125	5
126	3
127	6
128	5
130	1
131	2
132	7
133	3
134	6
135	3
136	3
137	1
139	4
140	3
141	2
142	1
143	3
144	3
145	1
146	3
148	1
149	3
150	3
151	2
152	3
153	6
154	1
156	2
157	1
158	1
160	3
161	3
162	1
163	1
164	3
165	1
168	4
169	2
170	2
171	2
172	1
173	1
177	1
178	1
184	2
185	1
186	1
188	2
189	1
190	1
192	1
193	2
195	2
196	2
197	1
199	1
200	1
207	3
213	1
214	2
216	1
217	1
219	1
222	2
231	2
232	1
233	2
234	1
237	1
243	1
252	1
253	1
275	1
281	1
295	1
296	1
319	1
358	1
375	1
408	1
453	1
487	1
